,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,3.3333333333333334e-08,1.0,0.65,3.0366143
1,22,350.16,5.34e-07,400.0,0.65,3.0366143
2,27,350.17,0.0,1.0,0.65,3.0366935999999995
3,1,350.17,5.666666666666667e-09,1.0,0.65,3.0366935999999995
4,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
5,3,352.58,2.2666666666666668e-08,1.0,0.65,3.0558049
6,28,350.17,5.34e-07,400.0,0.65,3.0366935999999995
7,4,352.58,1.1333333333333334e-08,1.0,0.65,3.0558049
8,5,352.58,2.669999666666667e-07,400.0,0.65,3.0558049
9,8,352.58,8e-09,1.0,0.65,3.0558049
10,41,,,,,
11,42,,,,,
12,43,,,,,
13,44,,,,,
14,45,,,,,
15,46,,,,,
16,47,,,,,
17,21,,,,,
18,48,,,,,
19,6,,,,,
20,7,,,,,
21,23,,,,,
22,24,,,,,
23,25,,,,,
24,26,,,,,
25,34,,,,,
26,49,,,,,
27,35,,,,,
28,36,,,,,
29,37,,,,,
30,38,,,,,
31,39,,,,,
32,51,,,,,
33,50,,,,,
34,9,,,,,
35,10,,,,,
36,11,,,,,
37,32,,,,,
38,29,,,,,
39,30,,,,,
40,31,,,,,
41,40,,,,,
42,12,,,,,
43,33,,,,,
44,13,,,,,
45,14,,,,,
46,15,,,,,
47,16,,,,,
48,17,,,,,
49,18,,,,,
50,19,,,,,
51,20,,,,,
