,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.5666666666666668e-08,1.0,0.65,3.0366143
1,1,350.17,5.005e-07,500.0,0.65,3.0366935999999995
2,28,350.17,1.4e-08,1.0,0.65,3.0366935999999995
3,4,352.58,2.333333333333333e-09,1.0,0.65,3.0558049
4,29,350.19,2e-08,1.0,0.65,3.0368522
5,5,352.58,4e-09,1.0,0.65,3.0558049
6,8,352.58,3.233333333333333e-08,1.0,0.65,3.0558049
7,30,350.21,0.0,497.0,0.65,3.037010799999999
8,6,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
9,7,352.58,2.1e-08,1.0,0.65,3.0558049
10,36,,,,,
11,37,,,,,
12,38,,,,,
13,39,,,,,
14,40,,,,,
15,41,,,,,
16,2,,,,,
17,3,,,,,
18,42,,,,,
19,43,,,,,
20,44,,,,,
21,9,,,,,
22,10,,,,,
23,11,,,,,
24,12,,,,,
25,13,,,,,
26,14,,,,,
27,15,,,,,
28,16,,,,,
29,17,,,,,
30,18,,,,,
31,19,,,,,
32,20,,,,,
33,21,,,,,
34,22,,,,,
35,23,,,,,
36,24,,,,,
37,25,,,,,
38,26,,,,,
39,27,,,,,
40,46,,,,,
41,45,,,,,
42,32,,,,,
43,33,,,,,
44,34,,,,,
45,31,,,,,
46,35,,,,,
