,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.3666666666666667e-08,1.0,0.65,3.0366143
1,22,350.16,9.600143333333336e-08,32.0,0.65,3.0366143
2,25,350.17,1.5333333333333335e-08,1.0,0.65,3.0366935999999995
3,26,350.16,2e-09,1.0,0.65,3.0366143
4,27,350.17,2e-09,1.0,0.65,3.0366935999999995
5,1,350.17,4e-09,1.0,0.65,3.0366935999999995
6,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
7,3,352.58,2.1e-08,1.0,0.65,3.0558049
8,28,350.17,2.333333333333333e-09,1.0,0.65,3.0366935999999995
9,4,352.58,1.2e-08,1.0,0.65,3.0558049
10,29,350.19,2.333333333333333e-09,1.0,0.65,3.0368522
11,5,352.58,5.6e-06,175.0,0.65,3.0558049
12,30,350.21,5.666666666666667e-09,1.0,0.65,3.037010799999999
13,6,352.58,1.2e-08,1.0,0.65,3.0558049
14,32,350.22,1.6666666666666667e-09,1.0,0.65,3.0370901000000003
15,31,350.22,3.3333333333333327e-10,1.0,0.65,3.0370901000000003
16,7,352.58,9.505e-07,950.0,0.65,3.0558049
17,11,,,,,
18,33,,,,,
19,12,,,,,
20,13,,,,,
21,14,,,,,
22,15,,,,,
23,16,,,,,
24,17,,,,,
25,18,,,,,
26,19,,,,,
27,21,,,,,
28,34,,,,,
29,20,,,,,
30,24,,,,,
31,23,,,,,
32,36,,,,,
33,35,,,,,
34,8,,,,,
35,9,,,,,
36,10,,,,,
