,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.0333333333333333e-08,1.0,0.65,3.0366143
1,25,350.17,2e-09,1.0,0.65,3.0366935999999995
2,26,350.16,2e-08,1.0,0.65,3.0366143
3,27,350.17,0.0,497.0,0.65,3.0366935999999995
4,1,350.17,4.67e-07,700.0,0.65,3.0366935999999995
5,4,352.58,4.333333333333333e-09,1.0,0.65,3.0558049
6,5,352.58,4e-09,1.0,0.65,3.0558049
7,8,352.58,0.0,1.0,0.65,3.0558049
8,6,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
9,32,350.22,1.933333333333333e-08,1.0,0.65,3.0370901000000003
10,7,352.58,1.7e-08,1.0,0.65,3.0558049
11,33,,,,,
12,34,,,,,
13,35,,,,,
14,36,,,,,
15,37,,,,,
16,38,,,,,
17,2,,,,,
18,3,,,,,
19,39,,,,,
20,40,,,,,
21,41,,,,,
22,9,,,,,
23,10,,,,,
24,11,,,,,
25,43,,,,,
26,42,,,,,
27,12,,,,,
28,28,,,,,
29,29,,,,,
30,30,,,,,
31,31,,,,,
32,13,,,,,
33,14,,,,,
34,15,,,,,
35,16,,,,,
36,17,,,,,
37,18,,,,,
38,19,,,,,
39,20,,,,,
40,21,,,,,
41,22,,,,,
42,23,,,,,
43,24,,,,,
