,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,1.1e-08,1.0,0.65,3.0366143
1,25,350.17,1.933333333333333e-08,1.0,0.65,3.0366935999999995
2,26,350.16,2e-09,1.0,0.65,3.0366143
3,27,350.17,2e-09,1.0,0.65,3.0366935999999995
4,1,350.17,4e-09,1.0,0.65,3.0366935999999995
5,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
6,3,352.58,9.666666666666669e-09,1.0,0.65,3.0558049
7,28,350.17,2.333333333333333e-09,1.0,0.65,3.0366935999999995
8,4,352.58,1.6e-08,1.0,0.65,3.0558049
9,29,350.19,2.333333333333333e-09,1.0,0.65,3.0368522
10,5,352.58,7.0025e-06,1400.0,0.65,3.0558049
11,8,352.58,2e-09,1.0,0.65,3.0558049
12,30,350.21,5.666666666666667e-09,1.0,0.65,3.037010799999999
13,32,350.22,1.6666666666666667e-09,1.0,0.65,3.0370901000000003
14,31,350.22,3.3333333333333327e-10,1.0,0.65,3.0370901000000003
15,9,,,,,
16,33,,,,,
17,6,,,,,
18,7,,,,,
19,10,,,,,
20,11,,,,,
21,12,,,,,
22,13,,,,,
23,14,,,,,
24,15,,,,,
25,16,,,,,
26,17,,,,,
27,19,,,,,
28,34,,,,,
29,18,,,,,
30,20,,,,,
31,21,,,,,
32,22,,,,,
33,23,,,,,
34,24,,,,,
35,36,,,,,
36,35,,,,,
