,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.5333333333333332e-08,1.0,0.65,3.0366143
1,1,350.17,5.666666666666667e-09,1.0,0.65,3.0366935999999995
2,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
3,3,352.58,1.933333333333333e-08,1.0,0.65,3.0558049
4,4,352.58,1.1333333333333334e-08,1.0,0.65,3.0558049
5,29,350.19,1.4e-08,1.0,0.65,3.0368522
6,5,352.58,3.336666666666667e-07,500.0,0.65,3.0558049
7,8,352.58,8e-09,1.0,0.65,3.0558049
8,30,350.21,2e-08,1.0,0.65,3.037010799999999
9,31,350.22,0.0,497.0,0.65,3.0370901000000003
10,37,,,,,
11,38,,,,,
12,39,,,,,
13,40,,,,,
14,41,,,,,
15,42,,,,,
16,43,,,,,
17,17,,,,,
18,44,,,,,
19,6,,,,,
20,7,,,,,
21,18,,,,,
22,19,,,,,
23,20,,,,,
24,21,,,,,
25,22,,,,,
26,23,,,,,
27,24,,,,,
28,25,,,,,
29,26,,,,,
30,27,,,,,
31,28,,,,,
32,45,,,,,
33,32,,,,,
34,33,,,,,
35,34,,,,,
36,35,,,,,
37,47,,,,,
38,46,,,,,
39,9,,,,,
40,10,,,,,
41,11,,,,,
42,36,,,,,
43,12,,,,,
44,13,,,,,
45,14,,,,,
46,15,,,,,
47,16,,,,,
