,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,1.1e-08,1.0,0.65,3.0366143
1,26,350.16,1.2666666666666666e-08,1.0,0.65,3.0366143
2,27,350.17,5.333333333333333e-09,1.0,0.65,3.0366935999999995
3,1,350.17,4e-09,1.0,0.65,3.0366935999999995
4,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
5,3,352.58,9.666666666666669e-09,1.0,0.65,3.0558049
6,28,350.17,6.67e-07,1000.0,0.65,3.0366935999999995
7,4,352.58,1.6e-08,1.0,0.65,3.0558049
8,5,352.58,3.0015006666666667e-06,1000.0,0.65,3.0558049
9,57,,,,,
10,58,,,,,
11,59,,,,,
12,60,,,,,
13,61,,,,,
14,62,,,,,
15,6,,,,,
16,7,,,,,
17,8,,,,,
18,9,,,,,
19,29,,,,,
20,30,,,,,
21,31,,,,,
22,32,,,,,
23,33,,,,,
24,34,,,,,
25,35,,,,,
26,36,,,,,
27,37,,,,,
28,38,,,,,
29,39,,,,,
30,40,,,,,
31,41,,,,,
32,42,,,,,
33,43,,,,,
34,44,,,,,
35,45,,,,,
36,46,,,,,
37,47,,,,,
38,48,,,,,
39,50,,,,,
40,10,,,,,
41,49,,,,,
42,51,,,,,
43,52,,,,,
44,53,,,,,
45,54,,,,,
46,55,,,,,
47,11,,,,,
48,12,,,,,
49,13,,,,,
50,14,,,,,
51,15,,,,,
52,16,,,,,
53,17,,,,,
54,18,,,,,
55,63,,,,,
56,56,,,,,
57,19,,,,,
58,64,,,,,
59,20,,,,,
60,21,,,,,
61,22,,,,,
62,23,,,,,
63,24,,,,,
64,25,,,,,
65,65,,,,,
66,67,,,,,
67,66,,,,,
