,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.3666666666666667e-08,1.0,0.65,3.0366143
1,26,350.16,3.3333333333333327e-10,1.0,0.65,3.0366143
2,27,350.17,6.67e-07,1000.0,0.65,3.0366935999999995
3,1,350.17,4e-09,1.0,0.65,3.0366935999999995
4,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
5,3,352.58,2.1e-08,1.0,0.65,3.0558049
6,4,352.58,1.7666666666666666e-08,1.0,0.65,3.0558049
7,5,352.58,1.3340003333333334e-05,1000.0,0.65,3.0558049
8,6,352.58,6.333333333333333e-09,1.0,0.65,3.0558049
9,7,352.58,6.67e-07,1000.0,0.65,3.0558049
10,78,,,,,
11,79,,,,,
12,80,,,,,
13,81,,,,,
14,82,,,,,
15,83,,,,,
16,34,,,,,
17,35,,,,,
18,36,,,,,
19,37,,,,,
20,38,,,,,
21,39,,,,,
22,40,,,,,
23,41,,,,,
24,42,,,,,
25,43,,,,,
26,44,,,,,
27,45,,,,,
28,46,,,,,
29,47,,,,,
30,48,,,,,
31,49,,,,,
32,50,,,,,
33,51,,,,,
34,52,,,,,
35,53,,,,,
36,54,,,,,
37,73,,,,,
38,55,,,,,
39,74,,,,,
40,75,,,,,
41,76,,,,,
42,8,,,,,
43,9,,,,,
44,10,,,,,
45,11,,,,,
46,12,,,,,
47,13,,,,,
48,14,,,,,
49,15,,,,,
50,16,,,,,
51,56,,,,,
52,57,,,,,
53,58,,,,,
54,59,,,,,
55,60,,,,,
56,61,,,,,
57,62,,,,,
58,63,,,,,
59,77,,,,,
60,17,,,,,
61,64,,,,,
62,18,,,,,
63,19,,,,,
64,20,,,,,
65,21,,,,,
66,22,,,,,
67,23,,,,,
68,24,,,,,
69,25,,,,,
70,84,,,,,
71,65,,,,,
72,66,,,,,
73,67,,,,,
74,68,,,,,
75,69,,,,,
76,70,,,,,
77,71,,,,,
78,85,,,,,
79,72,,,,,
80,32,,,,,
81,28,,,,,
82,29,,,,,
83,30,,,,,
84,31,,,,,
85,86,,,,,
86,33,,,,,
87,88,,,,,
88,87,,,,,
