,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,3.3333333333333334e-08,1.0,0.65,3.0366143
1,22,350.16,5.34e-07,400.0,0.65,3.0366143
2,27,350.17,0.0,1.0,0.65,3.0366935999999995
3,1,350.17,5.666666666666667e-09,1.0,0.65,3.0366935999999995
4,2,352.58,3.333333333333333e-09,1.0,0.65,3.0558049
5,3,352.58,2.7666666666666663e-08,1.0,0.65,3.0558049
6,28,350.17,6.006666666666666e-07,450.0,0.65,3.0366935999999995
7,4,352.58,1e-08,1.0,0.65,3.0558049
8,5,352.58,2.669999666666667e-07,400.0,0.65,3.0558049
9,8,352.58,1e-08,1.0,0.65,3.0558049
10,47,,,,,
11,48,,,,,
12,49,,,,,
13,50,,,,,
14,51,,,,,
15,52,,,,,
16,53,,,,,
17,21,,,,,
18,54,,,,,
19,6,,,,,
20,7,,,,,
21,23,,,,,
22,24,,,,,
23,25,,,,,
24,26,,,,,
25,40,,,,,
26,55,,,,,
27,41,,,,,
28,42,,,,,
29,43,,,,,
30,44,,,,,
31,45,,,,,
32,57,,,,,
33,56,,,,,
34,9,,,,,
35,10,,,,,
36,11,,,,,
37,32,,,,,
38,29,,,,,
39,30,,,,,
40,31,,,,,
41,46,,,,,
42,12,,,,,
43,33,,,,,
44,13,,,,,
45,14,,,,,
46,15,,,,,
47,34,,,,,
48,35,,,,,
49,36,,,,,
50,37,,,,,
51,38,,,,,
52,16,,,,,
53,39,,,,,
54,17,,,,,
55,18,,,,,
56,19,,,,,
57,20,,,,,
