,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,6.7e-08,1.0,0.65,3.0366143
1,22,350.16,2.811198e-06,124.0,0.65,3.0366143
2,23,350.16,0.0,1.0,0.65,3.0366143
3,24,350.17,6.333333333333333e-09,1.0,0.65,3.0366935999999995
4,25,350.17,0.0,1.0,0.65,3.0366935999999995
5,26,350.16,2.001000333333333e-06,1000.0,0.65,3.0366143
6,1,350.17,5.666666666666667e-09,1.0,0.65,3.0366935999999995
7,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
8,3,352.58,3.6e-08,1.0,0.65,3.0558049
9,4,352.58,3.4666666666666666e-08,1.0,0.65,3.0558049
10,29,350.19,1e-08,1.0,0.65,3.0368522
11,5,352.58,3.56845e-05,1000.0,0.65,3.0558049
12,8,352.58,8e-09,1.0,0.65,3.0558049
13,30,350.21,1.7e-08,1.0,0.65,3.037010799999999
14,31,350.22,9.600143333333336e-08,32.0,0.65,3.0370901000000003
15,35,,,,,
16,36,,,,,
17,37,,,,,
18,38,,,,,
19,39,,,,,
20,40,,,,,
21,41,,,,,
22,9,,,,,
23,42,,,,,
24,6,,,,,
25,7,,,,,
26,10,,,,,
27,11,,,,,
28,12,,,,,
29,13,,,,,
30,14,,,,,
31,15,,,,,
32,43,,,,,
33,16,,,,,
34,32,,,,,
35,33,,,,,
36,45,,,,,
37,44,,,,,
38,17,,,,,
39,18,,,,,
40,19,,,,,
41,34,,,,,
42,20,,,,,
43,21,,,,,
44,27,,,,,
45,28,,,,,
