,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,1.1e-08,1.0,0.65,3.0366143
1,26,350.16,1.2666666666666666e-08,1.0,0.65,3.0366143
2,27,350.17,5.333333333333333e-09,1.0,0.65,3.0366935999999995
3,1,350.17,4e-09,1.0,0.65,3.0366935999999995
4,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
5,3,352.58,9.666666666666669e-09,1.0,0.65,3.0558049
6,28,350.17,6.67e-07,1000.0,0.65,3.0366935999999995
7,4,352.58,1.6e-08,1.0,0.65,3.0558049
8,5,352.58,3.0015006666666667e-06,1000.0,0.65,3.0558049
9,10,,,,,
10,11,,,,,
11,19,,,,,
12,20,,,,,
