,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.3666666666666667e-08,1.0,0.65,3.0366143
1,26,350.16,3.3333333333333327e-10,1.0,0.65,3.0366143
2,27,350.17,6.67e-07,1000.0,0.65,3.0366935999999995
3,1,350.17,4e-09,1.0,0.65,3.0366935999999995
4,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
5,3,352.58,2.1e-08,1.0,0.65,3.0558049
6,4,352.58,1.7666666666666666e-08,1.0,0.65,3.0558049
7,5,352.58,1.3340003333333334e-05,1000.0,0.65,3.0558049
8,6,352.58,6.333333333333333e-09,1.0,0.65,3.0558049
9,7,352.58,6.67e-07,1000.0,0.65,3.0558049
10,17,,,,,
11,18,,,,,
