,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.5333333333333332e-08,1.0,0.65,3.0366143
1,26,350.16,1.2e-08,1.0,0.65,3.0366143
2,27,350.17,1e-08,1.0,0.65,3.0366935999999995
3,1,350.17,5.666666666666667e-09,1.0,0.65,3.0366935999999995
4,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
5,3,352.58,1.933333333333333e-08,1.0,0.65,3.0558049
6,28,350.17,1.6683333333333334e-06,500.0,0.65,3.0366935999999995
7,4,352.58,2.233333333333333e-08,1.0,0.65,3.0558049
8,5,352.58,3.336666666666667e-07,500.0,0.65,3.0558049
9,11,,,,,
10,12,,,,,
