,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.3e-08,1.0,0.65,3.0366143
1,1,350.17,4e-09,1.0,0.65,3.0366935999999995
2,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
3,3,352.58,1.7666666666666666e-08,1.0,0.65,3.0558049
4,4,352.58,1.1333333333333334e-08,1.0,0.65,3.0558049
5,5,352.58,4.003333333333334e-07,600.0,0.65,3.0558049
6,8,352.58,1e-08,1.0,0.65,3.0558049
7,41,,,,,
8,42,,,,,
9,43,,,,,
10,44,,,,,
11,45,,,,,
12,46,,,,,
13,47,,,,,
14,13,,,,,
15,48,,,,,
16,6,,,,,
17,7,,,,,
18,14,,,,,
19,15,,,,,
20,16,,,,,
21,17,,,,,
22,18,,,,,
23,19,,,,,
24,20,,,,,
25,21,,,,,
26,22,,,,,
27,23,,,,,
28,24,,,,,
29,25,,,,,
30,26,,,,,
31,27,,,,,
32,28,,,,,
33,29,,,,,
34,30,,,,,
35,31,,,,,
36,32,,,,,
37,34,,,,,
38,49,,,,,
39,33,,,,,
40,35,,,,,
41,36,,,,,
42,37,,,,,
43,38,,,,,
44,39,,,,,
45,51,,,,,
46,50,,,,,
47,9,,,,,
48,10,,,,,
49,11,,,,,
50,40,,,,,
51,12,,,,,
