SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,5.4228e-09,2.26667e-08,0.239241,1.22917e-16,5.73529e+08,13,0,1,68,3e+09,0.6,350.152,350.22
1,4.78235e-09,1.93333e-08,0.247363,9.24588e-17,6.2069e+08,12,0,4,58,3e+09,0.6,350.189,350.57
2,6.17517e-06,2.19202e-05,0.281711,1.35361e-10,1.33491e+09,29261.5,0,23654.6,65760.7,3e+09,0.6,350.188,350.57
3,4.91834e-09,2e-08,0.245917,9.83668e-17,6e+08,12,0,3,60,3e+09,0.6,350.152,350.22
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.51026e-09,5.66667e-09,0.266517,8.55816e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.151,350.19
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.3
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.29
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.151,350.23
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.21
11,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,354.52,356.67
12,0.00134734,0.00527859,0.255247,7.11208e-06,1.0003e+09,5.28019e+06,0,961200,1.58358e+07,3e+09,0.6,354.52,356.67
13,2.05034e-09,8e-09,0.256293,1.64028e-17,5e+08,4,0,4,24,3e+09,0.6,353.429,355.61
14,0.00154547,0.00602754,0.256402,9.3154e-06,1.03015e+09,6.20924e+06,0,1.0812e+06,1.80826e+07,3e+09,0.6,353.429,355.6
15,2.55962e-09,1e-08,0.255962,2.55962e-17,5e+08,5,0,5,30,3e+09,0.6,352.33,354.52
16,0.00169269,0.00659261,0.256756,1.11592e-05,1.05038e+09,6.92474e+06,0,990900,1.97778e+07,3e+09,0.6,352.33,354.51
17,2.05034e-09,8e-09,0.256293,1.64028e-17,5e+08,4,0,4,24,3e+09,0.6,351.226,353.35
18,0.00118714,0.00469146,0.253042,5.56939e-06,9.37852e+08,4.39989e+06,0,881100,1.40744e+07,3e+09,0.6,351.226,353.34
19,3.07235e-09,1.13333e-08,0.27109,3.482e-17,7.94118e+08,9,0,9,34,3e+09,0.6,350.151,350.19
20,1.88698e-09,8e-09,0.235873,1.50959e-17,5e+08,4,0,0,24,3e+09,0.6,343.684,345.65
21,0.59256,3.31472,0.178766,1.96417,7.83126e+08,2.59584e+09,0,2.37936e+09,9.94417e+09,3e+09,0.6,343.684,352.13
23,0.653234,3.69673,0.176706,2.41483,7.50439e+08,2.77417e+09,0,2.57581e+09,1.10902e+10,3e+09,0.6,343.01,352.1
24,1.20329e-09,5e-09,0.240657,6.01642e-18,6e+08,3,0,0,15,3e+09,0.6,350.151,350.19
25,8.6466e-09,3.33333e-08,0.259398,2.8822e-16,8.7e+08,29,0,15,100,3e+09,0.6,350.15,350.17
26,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
27,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
28,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
29,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
30,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
31,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
