SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,5.02121e-09,2.1e-08,0.239105,1.05445e-16,5.71429e+08,12,0,1,63,3e+09,0.6,350.152,350.22
1,3.75837e-09,1.53333e-08,0.245111,5.76283e-17,5.86957e+08,9,0,2,46,3e+09,0.6,350.153,350.26
2,1.07256e-07,3.78672e-07,0.283243,4.0615e-14,1.39437e+09,528.008,0,416.006,1136.02,3e+09,0.6,350.152,350.25
3,4.23247e-09,1.7e-08,0.248969,7.1952e-17,6.47059e+08,11,0,4,51,3e+09,0.6,350.152,350.22
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,350.151,350.19
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.3
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.29
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.151,350.23
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.21
11,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,351.227,353.36
12,0.00497726,0.0195927,0.254037,9.75177e-05,9.66332e+08,1.8933e+07,0,2.99217e+06,5.8778e+07,3e+09,0.6,351.227,353.38
13,3.06889e-09,1.2e-08,0.255741,3.68267e-17,5e+08,6,0,6,36,3e+09,0.6,350.161,350.27
14,1.35247e-06,5.6e-06,0.241512,7.57382e-12,5.625e+08,3150,0,1925,16800,3e+09,0.6,350.161,350.26
15,3.06889e-09,1.2e-08,0.255741,3.68267e-17,5e+08,6,0,6,36,3e+09,0.6,350.151,350.19
16,2.8273e-09,1.2e-08,0.235608,3.39276e-17,5e+08,6,0,0,36,3e+09,0.6,351.244,353.5
17,0.00582874,0.0220339,0.264535,0.00012843,7.44255e+08,1.63988e+07,0,1.52374e+07,6.61017e+07,3e+09,0.6,351.244,353.52
18,3.99511e-09,1.46667e-08,0.272394,5.8595e-17,1.36364e+09,20,0,14,44,3e+09,0.6,350.151,350.2
19,5.87134e-09,2.36667e-08,0.248085,1.38955e-16,8.02817e+08,19,0,5,71,3e+09,0.6,350.15,350.17
20,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
21,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
22,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
23,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
24,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
25,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
