SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,5.02121e-09,2.1e-08,0.239105,1.05445e-16,5.71429e+08,12,0,1,63,3e+09,0.6,351.225,353.3
1,4.78235e-09,1.93333e-08,0.247363,9.24588e-17,6.2069e+08,12,0,4,58,3e+09,0.6,351.264,353.45
2,6.17517e-06,2.19202e-05,0.281711,1.35361e-10,1.33491e+09,29261.5,0,23654.6,65760.7,3e+09,0.6,351.264,353.44
3,4.91834e-09,2e-08,0.245917,9.83668e-17,6e+08,12,0,3,60,3e+09,0.6,351.225,353.3
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,351.225,353.29
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,351.225,353.28
6,3.56259e-09,1.46667e-08,0.242904,5.22514e-17,6.13636e+08,9,0,2,44,3e+09,0.6,345.571,347.41
7,0.619598,3.78145,0.163852,2.34298,7.34007e+08,2.77561e+09,0,2.52289e+09,1.13443e+10,3e+09,0.6,345.571,356.02
8,3.43157e-10,1e-09,0.343157,3.43157e-19,3e+09,3,0,2,3,3e+09,0.6,354.519,356.61
9,0.00468158,0.0186046,0.251636,8.70988e-05,5.41511e+08,1.00746e+07,0,7.55629e+06,5.58137e+07,3e+09,0.6,354.519,356.64
10,1.72055e-09,7.33333e-09,0.23462,1.26173e-17,2.72727e+08,2,0,1,22,3e+09,0.6,353.448,355.7
11,0.0019023,0.00714765,0.266144,1.3597e-05,7.64776e+08,5.46635e+06,0,5.0421e+06,2.1443e+07,3e+09,0.6,353.448,355.8
12,1.18068e-09,4.33333e-09,0.272464,5.11627e-18,6.92308e+08,3,0,3,13,3e+09,0.6,352.322,354.69
13,0.000822008,0.00300951,0.273137,2.47384e-06,7.67409e+08,2.30952e+06,0,2.09935e+06,9.02852e+06,3e+09,0.6,352.322,354.68
14,2.50957e-09,1.03333e-08,0.242862,2.59323e-17,6.77419e+08,7,0,1,31,3e+09,0.6,351.225,353.28
15,1.14992e-09,4.33333e-09,0.265365,4.98296e-18,9.23077e+08,4,0,2,13,3e+09,0.6,351.224,353.27
16,0.00138821,0.00559723,0.248017,7.77012e-06,7.50657e+08,4.2016e+06,0,2.1008e+06,1.67917e+07,3e+09,0.6,351.224,353.26
17,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.3
18,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
19,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.29
20,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.151,350.23
21,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.21
22,6.37018e-09,2.56667e-08,0.248189,1.63501e-16,7.01299e+08,18,0,7,77,3e+09,0.6,350.15,350.17
23,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
24,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
25,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
26,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
27,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
28,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
