SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,3.27772e-09,1.36667e-08,0.239833,4.47955e-17,5.85366e+08,8,0,1,41,3e+09,0.6,350.153,350.27
1,3.75837e-09,1.53333e-08,0.245111,5.76283e-17,5.86957e+08,9,0,2,46,3e+09,0.6,350.154,350.3
2,1.07256e-07,3.78672e-07,0.283243,4.0615e-14,1.39437e+09,528.008,0,416.006,1136.02,3e+09,0.6,350.153,350.29
3,4.23247e-09,1.7e-08,0.248969,7.1952e-17,6.47059e+08,11,0,4,51,3e+09,0.6,350.153,350.27
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.152,350.26
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,350.152,350.25
6,3.41373e-09,1.43333e-08,0.238167,4.89301e-17,5.5814e+08,8,0,1,43,3e+09,0.6,351.26,353.53
7,0.00294975,0.0112218,0.262859,3.31014e-05,7.79077e+08,8.74264e+06,0,7.74044e+06,3.36654e+07,3e+09,0.6,351.26,353.53
8,5.47168e-09,2.1e-08,0.260556,1.14905e-16,8.57143e+08,18,0,11,63,3e+09,0.6,350.152,350.25
9,6.37252e-10,2.33333e-09,0.273108,1.48692e-18,1.28571e+09,3,0,1,7,3e+09,0.6,350.152,350.24
10,3.47171e-07,1.16667e-06,0.297575,4.05033e-13,1.71429e+09,2000,0,750,3500,3e+09,0.6,350.151,350.22
11,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.152,350.27
12,9.47808e-10,4e-09,0.236952,3.79123e-18,5e+08,2,0,0,12,3e+09,0.6,350.152,350.26
13,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.26
14,2.10246e-09,7.66667e-09,0.274234,1.61189e-17,1.17391e+09,9,0,6,23,3e+09,0.6,350.151,350.2
15,6.07847e-09,2.43333e-08,0.2498,1.47909e-16,6.16438e+08,15,0,8,73,3e+09,0.6,350.15,350.17
16,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
17,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
18,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
19,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
20,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
21,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
