SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,4.61962e-09,1.93333e-08,0.238946,8.93127e-17,5.68966e+08,11,0,1,58,3e+09,0.6,350.152,350.22
1,4.78235e-09,1.93333e-08,0.247363,9.24588e-17,6.2069e+08,12,0,4,58,3e+09,0.6,350.189,350.57
2,6.17517e-06,2.19202e-05,0.281711,1.35361e-10,1.33491e+09,29261.5,0,23654.6,65760.7,3e+09,0.6,350.188,350.57
3,4.91834e-09,2e-08,0.245917,9.83668e-17,6e+08,12,0,3,60,3e+09,0.6,350.152,350.22
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.51026e-09,5.66667e-09,0.266517,8.55816e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.151,350.19
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.3
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.29
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.151,350.23
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.21
11,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,353.438,355.58
12,0.00185158,0.00725404,0.255248,1.34314e-05,1.00033e+09,7.25644e+06,0,1.3211e+06,2.17621e+07,3e+09,0.6,353.438,355.59
13,2.05034e-09,8e-09,0.256293,1.64028e-17,5e+08,4,0,4,24,3e+09,0.6,352.34,354.52
14,0.00205294,0.00799582,0.256752,1.6415e-05,1.05028e+09,8.39789e+06,0,1.2012e+06,2.39875e+07,3e+09,0.6,352.339,354.52
15,2.05034e-09,8e-09,0.256293,1.64028e-17,5e+08,4,0,4,24,3e+09,0.6,351.239,353.4
16,0.00154355,0.00604604,0.2553,9.33239e-06,1.00033e+09,6.04804e+06,0,1.1011e+06,1.81381e+07,3e+09,0.6,351.238,353.39
17,3.07235e-09,1.13333e-08,0.27109,3.482e-17,7.94118e+08,9,0,9,34,3e+09,0.6,350.151,350.19
18,3.29745e-09,1.4e-08,0.235532,4.61643e-17,5e+08,7,0,0,42,3e+09,0.6,345.275,345.8
19,0.243144,2.46204,0.0987574,0.59863,8.67803e+08,2.13656e+09,0,1.97076e+09,7.38611e+09,3e+09,0.6,345.274,350.87
20,2.95978e-09,1.16667e-08,0.253695,3.45307e-17,9.42857e+08,11,0,3,35,3e+09,0.6,350.151,350.19
21,6.48108e-09,2.53333e-08,0.255832,1.64187e-16,8.68421e+08,22,0,10,76,3e+09,0.6,350.15,350.17
22,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
23,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
24,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
25,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
26,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
27,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
