SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,8.77932e-09,3.6e-08,0.24387,3.16055e-16,5.83333e+08,21,0,5,108,3e+09,0.6,350.152,350.22
1,3.75837e-09,1.53333e-08,0.245111,5.76283e-17,5.86957e+08,9,0,2,46,3e+09,0.6,350.153,350.27
2,1.07256e-07,3.78672e-07,0.283243,4.0615e-14,1.39437e+09,528.008,0,416.006,1136.02,3e+09,0.6,350.152,350.26
3,4.23247e-09,1.7e-08,0.248969,7.1952e-17,6.47059e+08,11,0,4,51,3e+09,0.6,350.152,350.23
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.51026e-09,5.66667e-09,0.266517,8.55816e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.151,350.2
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.31
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.3
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.152,350.24
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.22
11,1.88698e-09,8e-09,0.235873,1.50959e-17,5e+08,4,0,0,24,3e+09,0.6,351.199,353.37
12,0.00674253,0.0263568,0.255817,0.000177712,1.02476e+09,2.70095e+07,0,4.01601e+06,7.90705e+07,3e+09,0.6,351.199,353.4
13,8.99645e-09,3.46667e-08,0.259513,3.11877e-16,6.34615e+08,22,0,19,104,3e+09,0.6,350.151,350.2
14,2.35714e-09,1e-08,0.235714,2.35714e-17,5e+08,5,0,0,30,3e+09,0.6,351.242,353.45
15,0.00481022,0.0183275,0.262459,8.81592e-05,7.09235e+08,1.29985e+07,0,1.1998e+07,5.49825e+07,3e+09,0.6,351.242,353.46
17,1.7545e-09,6.33333e-09,0.277026,1.11118e-17,9.47368e+08,6,0,5,19,3e+09,0.6,350.151,350.18
19,7.62835e-07,2.8112e-06,0.271356,2.14448e-12,8.82353e+08,2480.47,0,2232.42,8433.59,3e+09,0.6,350.151,350.23
21,9.13256e-10,2.66667e-09,0.342471,2.43535e-18,3e+09,8,0,7,8,3e+09,0.6,351.244,353.48
22,0.00492643,0.0186607,0.264001,9.19305e-05,7.50134e+08,1.3998e+07,0,1.29975e+07,5.5982e+07,3e+09,0.6,351.244,353.49
24,0.00314142,0.0120604,0.260474,3.78867e-05,7.81215e+08,9.42175e+06,0,8.9224e+06,3.61812e+07,3e+09,0.6,351.255,353.5
25,8.27904e-09,2.9e-08,0.285484,2.40092e-16,1.65517e+09,48,0,13,87,3e+09,0.6,350.151,350.22
26,1.79687e-08,6.7e-08,0.26819,1.2039e-15,9.25373e+08,62,0,36,201,3e+09,0.6,350.15,350.18
27,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
28,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
29,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
30,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
31,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
32,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
