SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,3.27772e-09,1.36667e-08,0.239833,4.47955e-17,5.85366e+08,8,0,1,41,3e+09,0.6,350.152,350.22
1,4.78235e-09,1.93333e-08,0.247363,9.24588e-17,6.2069e+08,12,0,4,58,3e+09,0.6,350.189,350.57
2,6.17517e-06,2.19202e-05,0.281711,1.35361e-10,1.33491e+09,29261.5,0,23654.6,65760.7,3e+09,0.6,350.188,350.57
3,4.91834e-09,2e-08,0.245917,9.83668e-17,6e+08,12,0,3,60,3e+09,0.6,350.152,350.22
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,350.151,350.19
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.3
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.29
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.151,350.23
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.21
11,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,351.218,353.22
12,0.00258936,0.0106143,0.243951,2.74841e-05,6.31975e+08,6.70795e+06,0,4.19208e+06,3.18428e+07,3e+09,0.6,351.218,353.22
13,4.71411e-09,1.83333e-08,0.257133,8.64253e-17,5.45455e+08,10,0,10,55,3e+09,0.6,350.151,350.19
14,3.29745e-09,1.4e-08,0.235532,4.61643e-17,5e+08,7,0,0,42,3e+09,0.6,338.808,340.27
15,1.06585,6.5029,0.163904,6.93113,7.73788e+08,5.03187e+09,0,4.82064e+09,1.95087e+10,3e+09,0.6,338.807,350.72
16,5.99349e-09,2.13333e-08,0.280945,1.27861e-16,1.40625e+09,30,0,24,64,3e+09,0.6,350.151,350.2
17,4.04954e-09,1.63333e-08,0.247931,6.61425e-17,7.95918e+08,13,0,3,49,3e+09,0.6,350.15,350.17
18,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
19,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
20,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
21,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
22,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
23,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
