SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,2.2897e-09,9.66667e-09,0.236866,2.21338e-17,5.17241e+08,5,0,0,29,3e+09,0.6,350.152,350.22
1,4.78235e-09,1.93333e-08,0.247363,9.24588e-17,6.2069e+08,12,0,4,58,3e+09,0.6,350.189,350.57
2,6.17517e-06,2.19202e-05,0.281711,1.35361e-10,1.33491e+09,29261.5,0,23654.6,65760.7,3e+09,0.6,350.188,350.57
3,4.91834e-09,2e-08,0.245917,9.83668e-17,6e+08,12,0,3,60,3e+09,0.6,350.152,350.22
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,350.151,350.19
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,351.229,353.35
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,351.229,353.35
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,351.229,353.34
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,351.228,353.33
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,351.228,353.32
11,3.05847e-09,1.26667e-08,0.241458,3.87406e-17,6.31579e+08,8,0,1,38,3e+09,0.6,332.463,335.08
12,0.000873113,0.00297451,0.293532,2.59708e-06,1.33465e+09,3.96992e+06,0,2.97719e+06,8.92352e+06,3e+09,0.6,332.463,335.15
13,1.30661e-10,3.33333e-10,0.391984,4.35538e-20,3e+09,1,0,1,1,3e+09,0.6,331.319,334.29
14,5.9298,19.8561,0.298639,117.742,8.00626e+08,1.58973e+10,0,1.4899e+10,5.95682e+10,3e+09,0.6,331.319,350.38
15,1.16439e-09,4.33333e-09,0.268705,5.04568e-18,1.15385e+09,5,0,3,13,3e+09,0.6,351.227,353.31
16,0.00284514,0.011352,0.250629,3.22981e-05,7.06924e+08,8.02501e+06,0,6.02101e+06,3.4056e+07,3e+09,0.6,351.227,353.31
17,3.92418e-09,1.6e-08,0.245261,6.27868e-17,6.25e+08,10,0,3,48,3e+09,0.6,350.151,350.19
18,1.88698e-09,8e-09,0.235873,1.50959e-17,5e+08,4,0,0,24,3e+09,0.6,335.811,339.22
19,3.84839,10.1658,0.378564,39.1218,7.83667e+08,7.96657e+09,0,7.29759e+09,3.04973e+10,3e+09,0.6,335.811,352.36
20,1.31893e-09,5.33333e-09,0.2473,7.03431e-18,7.5e+08,4,0,1,16,3e+09,0.6,350.151,350.19
21,2.74083e-09,1.1e-08,0.249166,3.01491e-17,8.18182e+08,9,0,2,33,3e+09,0.6,350.15,350.17
22,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
23,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
24,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
25,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
26,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
27,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
