SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,5.02121e-09,2.1e-08,0.239105,1.05445e-16,5.71429e+08,12,0,1,63,3e+09,0.6,350.152,350.22
1,3.75837e-09,1.53333e-08,0.245111,5.76283e-17,5.86957e+08,9,0,2,46,3e+09,0.6,350.153,350.26
2,1.07256e-07,3.78672e-07,0.283243,4.0615e-14,1.39437e+09,528.008,0,416.006,1136.02,3e+09,0.6,350.152,350.25
3,4.23247e-09,1.7e-08,0.248969,7.1952e-17,6.47059e+08,11,0,4,51,3e+09,0.6,350.152,350.22
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,350.151,350.21
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,350.151,350.19
6,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,351.249,353.37
7,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,351.249,353.37
8,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,351.248,353.36
9,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,351.248,353.35
10,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,351.248,353.34
11,3.05847e-09,1.26667e-08,0.241458,3.87406e-17,6.31579e+08,8,0,1,38,3e+09,0.6,332.44,335.05
12,0.000761449,0.00263898,0.288539,2.00945e-06,1.12667e+09,2.97326e+06,0,2.47688e+06,7.91694e+06,3e+09,0.6,332.44,335.13
13,1.30661e-10,3.33333e-10,0.391984,4.35538e-20,3e+09,1,0,1,1,3e+09,0.6,331.322,334.29
14,5.92982,19.8564,0.298636,117.745,8.0062e+08,1.58974e+10,0,1.48992e+10,5.95691e+10,3e+09,0.6,331.322,350.4
15,1.16439e-09,4.33333e-09,0.268705,5.04568e-18,1.15385e+09,5,0,3,13,3e+09,0.6,351.247,353.33
16,0.00145493,0.00582558,0.249748,8.47579e-06,7.73591e+08,4.50662e+06,0,2.51423e+06,1.74767e+07,3e+09,0.6,351.247,353.32
17,1.65672e-09,6.33333e-09,0.261588,1.04926e-17,6.31579e+08,4,0,4,19,3e+09,0.6,350.174,350.39
18,3.4351e-06,1.334e-05,0.257504,4.58243e-11,7.5e+08,10005,0,8004,40020,3e+09,0.6,350.173,350.38
19,4.3178e-09,1.76667e-08,0.244404,7.62812e-17,5.66038e+08,10,0,3,53,3e+09,0.6,350.151,350.19
20,2.35714e-09,1e-08,0.235714,2.35714e-17,5e+08,5,0,0,30,3e+09,0.6,338.626,340.78
21,0.00183034,0.00712742,0.256803,1.30456e-05,6.28684e+08,4.48089e+06,0,3.9798e+06,2.13822e+07,3e+09,0.6,338.626,340.77
22,1.28911e-10,3.33333e-10,0.386732,4.29702e-20,3e+09,1,0,1,1,3e+09,0.6,337.514,339.68
23,0.00182943,0.00712068,0.256918,1.30268e-05,6.29202e+08,4.48035e+06,0,3.98025e+06,2.1362e+07,3e+09,0.6,337.513,341.06
24,1.28911e-10,3.33333e-10,0.386732,4.29702e-20,3e+09,1,0,1,1,3e+09,0.6,336.378,343.38
25,4.39524,9.72512,0.451947,42.7442,6.83246e+08,6.64465e+09,0,5.97567e+09,2.91754e+10,3e+09,0.6,336.378,356.3
26,1.71561e-09,7e-09,0.245087,1.20093e-17,7.14286e+08,5,0,1,21,3e+09,0.6,350.151,350.19
27,5.87359e-09,2.36667e-08,0.24818,1.39008e-16,8.02817e+08,19,0,5,71,3e+09,0.6,350.15,350.17
28,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
29,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
30,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
31,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
32,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
33,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
