SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,2.2897e-09,9.66667e-09,0.236866,2.21338e-17,5.17241e+08,5,0,0,29,3e+09,0.6,351.211,353.24
1,4.78235e-09,1.93333e-08,0.247363,9.24588e-17,6.2069e+08,12,0,4,58,3e+09,0.6,351.249,353.39
2,6.17517e-06,2.19202e-05,0.281711,1.35361e-10,1.33491e+09,29261.5,0,23654.6,65760.7,3e+09,0.6,351.249,353.38
3,4.91834e-09,2e-08,0.245917,9.83668e-17,6e+08,12,0,3,60,3e+09,0.6,351.211,353.24
4,4.1485e-10,1.66667e-09,0.24891,6.91417e-19,6e+08,1,0,0,5,3e+09,0.6,351.211,353.23
5,1.07272e-09,4e-09,0.26818,4.29088e-18,7.5e+08,3,0,2,12,3e+09,0.6,351.21,353.22
6,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,331.06,335.31
7,8.81995,22.296,0.395584,196.65,6.7169e+08,1.4976e+10,0,1.39775e+10,6.6888e+10,3e+09,0.6,331.061,351.38
8,6.38183e-10,2.33333e-09,0.273507,1.48909e-18,8.57143e+08,2,0,2,7,3e+09,0.6,351.211,353.22
9,6.3612e-10,2.33333e-09,0.272623,1.48428e-18,1.28571e+09,3,0,1,7,3e+09,0.6,351.21,353.21
10,0.0030313,0.0124842,0.24281,3.78435e-05,6.00337e+08,7.49475e+06,0,4.9955e+06,3.74527e+07,3e+09,0.6,351.21,353.2
11,1.80529e-09,7e-09,0.257899,1.26371e-17,7.14286e+08,5,0,3,21,3e+09,0.6,350.153,350.3
12,1.06408e-09,4.33333e-09,0.245557,4.61101e-18,6.92308e+08,3,0,1,13,3e+09,0.6,350.153,350.3
13,2.35661e-10,6.66667e-10,0.353492,1.57108e-19,3e+09,2,0,1,2,3e+09,0.6,350.152,350.29
14,1.85627e-09,6.66667e-09,0.278441,1.23752e-17,1.2e+09,8,0,5,20,3e+09,0.6,350.152,350.23
15,4.90752e-10,1.66667e-09,0.294451,8.17919e-19,1.8e+09,3,0,2,5,3e+09,0.6,350.151,350.21
16,4.26273e-09,1.7e-08,0.250749,7.24665e-17,5.88235e+08,10,0,6,51,3e+09,0.6,350.15,350.17
17,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
18,4.76522e-10,2e-09,0.238261,9.53044e-19,5e+08,1,0,0,6,3e+09,0.6,350.15,350.17
19,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
20,6.24265e-10,2.33333e-09,0.267542,1.45662e-18,8.57143e+08,2,0,1,7,3e+09,0.6,350.151,350.17
21,1.48585e-09,5.66667e-09,0.262208,8.41979e-18,7.05882e+08,4,0,3,17,3e+09,0.6,350.15,350.17
22,1.21265e-10,3.33333e-10,0.363794,4.04216e-20,3e+09,1,0,0,1,3e+09,0.6,350.151,350.22
