SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,6.49864e-09,2.30556e-08,0.281869,1.4983e-16,6.93976e+08,16,0,2,83,3.6e+09,0.6,350.152,350.24
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,350.189,350.6
2,6.04473e-06,1.82669e-05,0.330913,1.10418e-10,1.60189e+09,29261.5,0,23654.6,65760.7,3.6e+09,0.6,350.189,350.6
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,350.152,350.24
4,8.3251e-10,2.77778e-09,0.299704,2.31253e-18,7.2e+08,2,0,1,10,3.6e+09,0.6,350.152,350.22
5,1.47661e-09,4.72222e-09,0.312694,6.97288e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.2
6,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.34
7,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.34
8,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.33
9,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.26
10,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.23
11,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,354.66,357.33
12,0.00180873,0.00604503,0.29921,1.09338e-05,1.2004e+09,7.25644e+06,0,1.3211e+06,2.17621e+07,3.6e+09,0.6,354.66,357.39
13,2.00263e-09,6.66667e-09,0.300395,1.33509e-17,6e+08,4,0,4,24,3.6e+09,0.6,353.522,356.22
14,0.00150926,0.00502295,0.300473,7.58093e-06,1.23617e+09,6.20924e+06,0,1.0812e+06,1.80826e+07,3.6e+09,0.6,353.521,356.27
15,2.49997e-09,8.33333e-09,0.299997,2.08331e-17,6e+08,5,0,5,30,3.6e+09,0.6,352.379,355.09
16,0.00125721,0.00418321,0.300538,5.25917e-06,1.23629e+09,5.17167e+06,0,900900,1.50595e+07,3.6e+09,0.6,352.378,355.12
17,2.49997e-09,8.33333e-09,0.299997,2.08331e-17,6e+08,5,0,5,30,3.6e+09,0.6,351.246,353.87
18,0.00105364,0.00355355,0.296503,3.74415e-06,1.12546e+09,3.99939e+06,0,801000,1.27928e+07,3.6e+09,0.6,351.246,353.86
19,2.49997e-09,8.33333e-09,0.299997,2.08331e-17,6e+08,5,0,5,30,3.6e+09,0.6,350.151,350.2
20,2.7558e-09,1e-08,0.27558,2.7558e-17,6e+08,6,0,0,36,3.6e+09,0.6,345.192,347.72
21,0.55008,2.53074,0.21736,1.39211,9.39902e+08,2.37864e+09,0,2.1802e+09,9.11065e+09,3.6e+09,0.6,345.192,352.91
23,0.616889,3.79583,0.162518,2.34161,9.39709e+08,3.56698e+09,0,3.26948e+09,1.3665e+10,3.6e+09,0.6,342.718,352
25,0.477144,2.3006,0.2074,1.09772,9.39825e+08,2.16217e+09,0,1.9818e+09,8.28218e+09,3.6e+09,0.6,345.625,351.23
26,2.37456e-09,8.33333e-09,0.284948,1.9788e-17,7.2e+08,6,0,1,30,3.6e+09,0.6,350.151,350.2
27,8.5186e-09,2.77778e-08,0.30667,2.36628e-16,1.116e+09,31,0,15,100,3.6e+09,0.6,350.15,350.18
28,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
29,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
30,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
31,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
32,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
33,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
