SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,4.89606e-09,1.75e-08,0.279775,8.5681e-17,6.85714e+08,12,0,1,63,3.6e+09,0.6,351.182,353.75
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,351.217,353.9
2,6.04473e-06,1.82669e-05,0.330913,1.10418e-10,1.60189e+09,29261.5,0,23654.6,65760.7,3.6e+09,0.6,351.217,353.89
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,351.182,353.75
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,351.182,353.74
5,1.04901e-09,3.33333e-09,0.314703,3.4967e-18,9e+08,3,0,2,12,3.6e+09,0.6,351.182,353.73
6,3.21403e-09,1.16667e-08,0.275489,3.74971e-17,6e+08,7,0,0,42,3.6e+09,0.6,331.877,335.83
7,8.12542,18.7195,0.434061,152.104,6.92653e+08,1.29662e+10,0,1.19691e+10,6.73904e+10,3.6e+09,0.6,331.877,351.84
8,8.54486e-09,2.69444e-08,0.317129,2.30236e-16,1.03918e+09,28,0,22,97,3.6e+09,0.6,351.182,353.73
9,6.25743e-10,1.94444e-09,0.321811,1.21672e-18,1.54286e+09,3,0,1,7,3.6e+09,0.6,351.181,353.72
10,0.000673482,0.00229034,0.294053,1.5425e-06,9.82931e+08,2.25125e+06,0,1.0015e+06,8.24524e+06,3.6e+09,0.6,351.181,353.71
11,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.34
12,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.34
13,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.33
14,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.26
15,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.23
16,6.21714e-09,2.13889e-08,0.290672,1.32978e-16,8.41558e+08,18,0,7,77,3.6e+09,0.6,350.15,350.18
17,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
18,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
19,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
20,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
21,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
22,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
