SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,3.9319e-09,1.41667e-08,0.277546,5.57019e-17,6.35294e+08,9,0,0,51,3.6e+09,0.6,351.253,353.79
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,351.288,353.94
2,6.04473e-06,1.82669e-05,0.330913,1.10418e-10,1.60189e+09,29261.5,0,23654.6,65760.7,3.6e+09,0.6,351.288,353.93
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,351.253,353.79
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,351.253,353.78
5,1.04901e-09,3.33333e-09,0.314703,3.4967e-18,9e+08,3,0,2,12,3.6e+09,0.6,351.253,353.77
6,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,345.41,347.7
7,0.597404,3.15603,0.18929,1.88543,8.80308e+08,2.77828e+09,0,2.52571e+09,1.13617e+10,3.6e+09,0.6,345.409,354.55
8,7.40919e-10,2.5e-09,0.296368,1.8523e-18,4e+08,1,0,1,9,3.6e+09,0.6,352.335,355.42
9,0.000623478,0.00195736,0.31853,1.22037e-06,1.06033e+09,2.07545e+06,0,1.86693e+06,7.0465e+06,3.6e+09,0.6,352.335,355.51
10,7.94282e-10,1.94444e-09,0.408488,1.54444e-18,3.6e+09,7,0,7,7,3.6e+09,0.6,351.261,354.12
11,0.000804071,0.00250792,0.320613,2.01655e-06,9.20891e+08,2.30952e+06,0,2.09935e+06,9.02852e+06,3.6e+09,0.6,351.26,354.11
13,1.12309e-09,3.61111e-09,0.311009,4.05559e-18,1.10769e+09,4,0,2,13,3.6e+09,0.6,351.252,353.76
14,0.00124838,0.00431372,0.289397,5.38514e-06,8.76413e+08,3.7806e+06,0,1.6812e+06,1.55294e+07,3.6e+09,0.6,351.252,353.75
15,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.33
16,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.33
17,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.32
18,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.25
19,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.22
20,4.9425e-09,1.69444e-08,0.291689,8.3748e-17,8.26229e+08,14,0,6,61,3.6e+09,0.6,350.15,350.17
21,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
22,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
23,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
24,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
25,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
26,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
