SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,2.2321e-09,8.05556e-09,0.277089,1.79808e-17,6.2069e+08,5,0,0,29,3.6e+09,0.6,350.152,350.23
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,350.188,350.59
2,5.78689e-06,1.74558e-05,0.331518,1.01015e-10,1.59268e+09,27801.5,0,22194.6,62840.7,3.6e+09,0.6,350.187,350.59
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,350.152,350.24
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,350.151,350.22
5,1.04901e-09,3.33333e-09,0.314703,3.4967e-18,9e+08,3,0,2,12,3.6e+09,0.6,350.151,350.2
6,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.34
7,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.34
8,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.33
9,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.26
10,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.23
11,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,351.288,354.35
12,0.00981986,0.0301917,0.325251,0.000296478,1.81619e+09,5.48338e+07,0,5.8835e+06,1.0869e+08,3.6e+09,0.6,351.288,354.4
13,3.99201e-09,1.33333e-08,0.299401,5.32268e-17,6e+08,8,0,8,48,3.6e+09,0.6,350.151,350.2
14,2.29756e-09,8.33333e-09,0.275707,1.91463e-17,6e+08,5,0,0,30,3.6e+09,0.6,350.15,350.17
16,1.90119e-09,6.38889e-09,0.297578,1.21465e-17,1.09565e+09,7,0,3,23,3.6e+09,0.6,350.151,350.21
17,2.67541e-09,9.16667e-09,0.291863,2.45246e-17,9.81818e+08,9,0,2,33,3.6e+09,0.6,350.15,350.18
18,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
19,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
20,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
21,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
22,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
23,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
