SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,4.5044e-09,1.61111e-08,0.279584,7.2571e-17,6.82758e+08,11,0,1,58,3.6e+09,0.6,350.152,350.24
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,350.189,350.6
2,6.04473e-06,1.82669e-05,0.330913,1.10418e-10,1.60189e+09,29261.5,0,23654.6,65760.7,3.6e+09,0.6,350.188,350.6
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,350.152,350.24
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,350.151,350.22
5,1.47661e-09,4.72222e-09,0.312694,6.97288e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.2
6,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.34
7,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.34
8,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.33
9,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.26
10,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.23
11,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,353.563,356.23
12,0.00180836,0.00604503,0.299149,1.09316e-05,1.2004e+09,7.25644e+06,0,1.3211e+06,2.17621e+07,3.6e+09,0.6,353.563,356.29
13,2.00263e-09,6.66667e-09,0.300395,1.33509e-17,6e+08,4,0,4,24,3.6e+09,0.6,352.425,355.13
14,0.00200529,0.00666318,0.300951,1.33616e-05,1.26034e+09,8.39789e+06,0,1.2012e+06,2.39875e+07,3.6e+09,0.6,352.424,355.16
15,2.00263e-09,6.66667e-09,0.300395,1.33509e-17,6e+08,4,0,4,24,3.6e+09,0.6,351.276,353.94
16,0.00150753,0.00503837,0.29921,7.59548e-06,1.2004e+09,6.04804e+06,0,1.1011e+06,1.81381e+07,3.6e+09,0.6,351.276,353.93
17,3.00471e-09,9.44445e-09,0.318146,2.83778e-17,9.52941e+08,9,0,9,34,3.6e+09,0.6,350.151,350.2
18,3.21403e-09,1.16667e-08,0.275489,3.74971e-17,6e+08,7,0,0,42,3.6e+09,0.6,346.108,346.83
19,0.22849,2.0517,0.111366,0.468792,1.04136e+09,2.13656e+09,0,1.97076e+09,7.38611e+09,3.6e+09,0.6,346.108,351.15
20,2.8902e-09,9.72222e-09,0.297278,2.80992e-17,1.13143e+09,11,0,3,35,3.6e+09,0.6,350.151,350.21
21,6.33014e-09,2.11111e-08,0.299849,1.33636e-16,1.04211e+09,22,0,10,76,3.6e+09,0.6,350.15,350.18
22,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
23,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
24,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
25,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
26,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
27,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
