SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,8.56475e-09,3e-08,0.285492,2.56943e-16,7e+08,21,0,5,108,3.6e+09,0.6,350.152,350.24
1,3.66696e-09,1.27778e-08,0.28698,4.68556e-17,7.04348e+08,9,0,2,46,3.6e+09,0.6,350.153,350.28
2,1.05004e-07,3.1556e-07,0.332754,3.3135e-14,1.67324e+09,528.008,0,416.006,1136.02,3.6e+09,0.6,350.153,350.27
3,4.13112e-09,1.41667e-08,0.291609,5.85242e-17,7.7647e+08,11,0,4,51,3.6e+09,0.6,350.152,350.24
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,350.152,350.22
5,1.47661e-09,4.72222e-09,0.312694,6.97288e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.21
6,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.34
7,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.34
8,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.33
9,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.26
10,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.23
11,1.83932e-09,6.66667e-09,0.275898,1.22621e-17,6e+08,4,0,0,24,3.6e+09,0.6,351.257,353.94
12,0.00658547,0.021964,0.29983,0.000144644,1.22971e+09,2.70095e+07,0,4.01601e+06,7.90705e+07,3.6e+09,0.6,351.256,353.96
13,8.78964e-09,2.88889e-08,0.304257,2.53923e-16,7.61538e+08,22,0,19,104,3.6e+09,0.6,350.151,350.21
14,2.29756e-09,8.33333e-09,0.275707,1.91463e-17,6e+08,5,0,0,30,3.6e+09,0.6,351.3,354.03
15,0.00470101,0.0152729,0.307801,7.17982e-05,8.51082e+08,1.29985e+07,0,1.1998e+07,5.49825e+07,3.6e+09,0.6,351.299,354.03
17,1.71685e-09,5.27778e-09,0.325298,9.06115e-18,1.13684e+09,6,0,5,19,3.6e+09,0.6,350.151,350.18
19,7.46091e-07,2.34267e-06,0.31848,1.74784e-12,1.05882e+09,2480.47,0,2232.42,8433.59,3.6e+09,0.6,350.151,350.23
21,8.97448e-10,2.22222e-09,0.403852,1.99433e-18,3.6e+09,8,0,7,8,3.6e+09,0.6,351.302,354.07
22,0.00481524,0.0155506,0.309651,7.48796e-05,9.00161e+08,1.3998e+07,0,1.29975e+07,5.5982e+07,3.6e+09,0.6,351.301,354.07
24,0.00306954,0.0100503,0.305417,3.08498e-05,9.37457e+08,9.42175e+06,0,8.9224e+06,3.61812e+07,3.6e+09,0.6,351.308,354.08
25,8.10585e-09,2.41667e-08,0.335415,1.95892e-16,1.98621e+09,48,0,13,87,3.6e+09,0.6,350.151,350.22
26,1.75691e-08,5.58333e-08,0.31467,9.80939e-16,1.11045e+09,62,0,36,201,3.6e+09,0.6,350.151,350.18
27,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
28,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
29,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
30,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
31,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
32,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
