SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,2.2321e-09,8.05556e-09,0.277089,1.79808e-17,6.2069e+08,5,0,0,29,3.6e+09,0.6,351.258,353.76
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,351.293,353.91
2,6.04473e-06,1.82669e-05,0.330913,1.10418e-10,1.60189e+09,29261.5,0,23654.6,65760.7,3.6e+09,0.6,351.293,353.9
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,351.258,353.76
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,351.258,353.75
5,1.04901e-09,3.33333e-09,0.314703,3.4967e-18,9e+08,3,0,2,12,3.6e+09,0.6,351.258,353.74
6,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,332.024,337.18
7,8.68188,18.58,0.46727,161.309,8.06028e+08,1.4976e+10,0,1.39775e+10,6.6888e+10,3.6e+09,0.6,332.024,353.25
8,6.24253e-10,1.94444e-09,0.321045,1.21383e-18,1.02857e+09,2,0,2,7,3.6e+09,0.6,351.258,353.74
9,6.22354e-10,1.94444e-09,0.320068,1.21013e-18,1.54286e+09,3,0,1,7,3.6e+09,0.6,351.258,353.73
10,0.00295695,0.0104035,0.284226,3.07628e-05,7.20404e+08,7.49475e+06,0,4.9955e+06,3.74527e+07,3.6e+09,0.6,351.257,353.72
11,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.33
12,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.33
13,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.32
14,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.25
15,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.22
16,4.16137e-09,1.41667e-08,0.293744,5.89527e-17,7.05882e+08,10,0,6,51,3.6e+09,0.6,350.15,350.17
17,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
18,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
19,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
20,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
21,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
22,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
