SubgraphID,Energy,Time,Power,EnergyDelayProduct,IPS,Instructions,FloatInstructions,IntInstructions,Cycles,Frequency,Voltage,TimeWeightedTemp,PeakTemp
0,4.11275e-09,1.47222e-08,0.279357,6.05488e-17,6.79245e+08,10,0,1,53,3.6e+09,0.6,350.152,350.24
1,4.66708e-09,1.61111e-08,0.289681,7.51918e-17,7.44827e+08,12,0,4,58,3.6e+09,0.6,350.189,350.6
2,6.04473e-06,1.82669e-05,0.330913,1.10418e-10,1.60189e+09,29261.5,0,23654.6,65760.7,3.6e+09,0.6,350.188,350.6
3,4.79909e-09,1.66667e-08,0.287946,7.99849e-17,7.2e+08,12,0,3,60,3.6e+09,0.6,350.152,350.24
4,4.04912e-10,1.38889e-09,0.291537,5.62378e-19,7.2e+08,1,0,0,5,3.6e+09,0.6,350.151,350.22
5,1.04901e-09,3.33333e-09,0.314703,3.4967e-18,9e+08,3,0,2,12,3.6e+09,0.6,350.151,350.2
6,1.76354e-09,5.83333e-09,0.302321,1.02873e-17,8.57143e+08,5,0,3,21,3.6e+09,0.6,350.153,350.34
7,1.03825e-09,3.61111e-09,0.287515,3.74923e-18,8.30769e+08,3,0,1,13,3.6e+09,0.6,350.153,350.34
8,2.31827e-10,5.55556e-10,0.417289,1.28793e-19,3.6e+09,2,0,1,2,3.6e+09,0.6,350.152,350.33
9,1.81663e-09,5.55556e-09,0.326994,1.00924e-17,1.44e+09,8,0,5,20,3.6e+09,0.6,350.152,350.26
10,4.80793e-10,1.38889e-09,0.346171,6.67768e-19,2.16e+09,3,0,2,5,3.6e+09,0.6,350.151,350.23
11,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,352.42,355.09
12,0.00197343,0.00659549,0.299209,1.30157e-05,1.20036e+09,7.91699e+06,0,1.4412e+06,2.37438e+07,3.6e+09,0.6,352.42,355.14
13,2.49997e-09,8.33333e-09,0.299997,2.08331e-17,6e+08,5,0,5,30,3.6e+09,0.6,351.279,353.95
14,0.00164404,0.00549458,0.299212,9.03331e-06,1.20044e+09,6.59589e+06,0,1.201e+06,1.97805e+07,3.6e+09,0.6,351.279,353.94
15,3.00471e-09,9.44445e-09,0.318146,2.83778e-17,9.52941e+08,9,0,9,34,3.6e+09,0.6,350.151,350.2
16,3.21403e-09,1.16667e-08,0.275489,3.74971e-17,6e+08,7,0,0,42,3.6e+09,0.6,347.441,348.69
17,0.258699,1.49947,0.172527,0.387911,9.6253e+08,1.44329e+09,0,1.3504e+09,5.39809e+09,3.6e+09,0.6,347.441,351.95
18,3.47766e-09,1.08333e-08,0.321015,3.76746e-17,1.38462e+09,15,0,7,39,3.6e+09,0.6,350.151,350.21
19,5.67984e-09,1.91667e-08,0.29634,1.08864e-16,9.91304e+08,19,0,8,69,3.6e+09,0.6,350.15,350.18
20,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
21,4.64603e-10,1.66667e-09,0.278762,7.74338e-19,6e+08,1,0,0,6,3.6e+09,0.6,350.15,350.17
22,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
23,6.10341e-10,1.94444e-09,0.31389,1.18677e-18,1.02857e+09,2,0,1,7,3.6e+09,0.6,350.151,350.18
24,1.45203e-09,4.72222e-09,0.30749,6.85683e-18,8.47059e+08,4,0,3,17,3.6e+09,0.6,350.151,350.18
25,1.19266e-10,2.77778e-10,0.429359,3.31295e-20,3.6e+09,1,0,0,1,3.6e+09,0.6,350.151,350.23
