block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,51.0
22,348.16,348.16,348.16,6.0
23,348.16,348.16,348.16,6.0
24,348.16,348.18,348.16,7.0
25,348.16,348.18,348.16,7.0
26,348.16,348.17,348.16,17.0
27,348.16,348.19,348.16,1.0
1,348.17,348.18,348.17,5002.501
2,350.35,350.73,350.37,37443720.0
3,350.37,350.74,350.39,4002.001
28,348.17,348.19,348.17,5.0
4,350.38,350.75,350.4,7.0
29,348.18,348.21,348.18,20.0
5,350.4,350.76,350.42,12.0
8,350.4,350.75,350.42,7.0
30,348.2,348.25,348.2,2.0
6,350.41,350.77,350.43,5.0
9,,,0.0,0.0
10,,,0.0,19980020.0
11,,,0.0,66866060000.0
12,,,0.0,1998002.0
13,,,0.0,751.5
32,348.21,348.26,348.21,21.0
31,348.21,348.26,348.21,13.0
7,350.42,350.77,350.44,29.0
15,350.42,350.77,350.44,60.0
14,,,0.0,6.0
16,,,0.0,0.0
17,,,0.0,13139.7
18,,,0.0,11679.73
19,,,0.0,37959.14
20,,,0.0,2982.088
21,,,0.0,58.0
