module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//2mm.pgo.merged.ll,main,entry,0,100,1,18014400000000000,4,3,0,0,81,38,29,15,0,1,0,7,7,0,0,4,81,38,0,0,0,100,0,29,15,0,29,29,58,29,0,0,29,29,58,0,0,0,0,4,0,29,0
./objects//2mm.pgo.merged.ll,main,land.lhs.true,1,17,1,6004800000000000,3,0,0,0,10,3,4,3,0,1,0,0,0,0,0,1,10,3,0,0,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,0,4,0
./objects//2mm.pgo.merged.ll,main,if.then,2,5,1,353219000000000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//2mm.pgo.merged.ll,main,if.end,3,68,1,18014400000000000,0,0,0,0,23,24,13,1,0,0,0,5,6,0,0,1,23,24,0,0,0,68,0,13,1,0,13,13,26,13,0,0,13,13,26,0,0,0,0,1,0,13,0
./objects//2mm.pgo.merged.ll,init_array,entry,4,34,1,66757200000,5,2,0,0,23,7,9,9,0,0,0,0,0,0,0,0,23,7,0,0,0,34,0,9,9,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0
./objects//2mm.pgo.merged.ll,init_array,vector.ph,5,801,400,26736300000000,0,0,0,0,801,801,801,400,0,0,0,0,0,0,0,0,801,801,0,0,0,801,0,801,400,0,801,801,1602,801,0,0,801,801,1602,0,0,0,0,0,0,801,0
./objects//2mm.pgo.merged.ll,init_array,vector.body,6,14072000,219874,14678200000000000,0,219874,0,0,7475730,4177610,4397490,879498,0,219874,0,0,0,1319250,0,659623,7475730,4177610,0,0,0,14072000,0,4397490,879498,0,4397490,4397490,8794980,4397490,0,0,4397490,4397490,8794980,0,0,0,1319250,659623,0,4397490,0
./objects//2mm.pgo.merged.ll,init_array,for.inc7,7,1602,400,26736300000000,0,0,0,0,1602,2002,1602,1202,0,400,0,0,0,0,0,1202,1602,2002,0,0,0,1602,0,1602,1202,0,1602,1602,3204,1602,0,0,1602,1602,3204,0,0,0,0,1202,0,1602,0
./objects//2mm.pgo.merged.ll,init_array,vector.ph2.preheader,8,24,1,66757200000,4,0,0,0,12,4,4,4,0,0,0,0,0,0,0,0,12,4,0,0,0,24,0,4,4,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,0,4,0
./objects//2mm.pgo.merged.ll,init_array,vector.ph2,9,1652,550,36749800000000,0,0,0,0,1652,1652,1652,550,0,0,0,0,0,0,0,0,1652,1652,0,0,0,1652,0,1652,550,0,1652,1652,3304,1652,0,0,1652,1652,3304,0,0,0,0,0,0,1652,0
./objects//2mm.pgo.merged.ll,init_array,vector.body5,10,19774000,247175,16500700000000000,0,247175,0,0,11617200,6673710,6920890,988698,0,247175,0,0,0,1977400,0,741524,11617200,6673710,0,0,0,19774000,0,6920890,988698,0,6920890,6920890,13841780,6920890,0,0,6920890,6920890,13841780,0,0,0,1977400,741524,0,6920890,0
./objects//2mm.pgo.merged.ll,init_array,for.inc31,11,2202,550,36749800000000,0,0,0,0,2202,2752,2202,1652,0,550,0,0,0,0,0,1652,2202,2752,0,0,0,2202,0,2202,1652,0,2202,2202,4404,2202,0,0,2202,2202,4404,0,0,0,0,1652,0,2202,0
