cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
63,12,1,0,0,0,0,20,22,0,0,4,5,0,0,0,0,0,63,0,12,1,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//atax.pgo.merged.ll,main,if.end,True,False,22,20,18014400000000000,1,0,3
46,9,2,0,0,2,0,23,15,0,0,1,1,0,0,0,1,0,46,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0,./objects//atax.pgo.merged.ll,print_array,for.end,True,False,15,23,562941600000000,1,0,25
1136,528,384,0,64,80,0,1040,912,0,0,48,48,32,0,0,2,0,1136,0,528,384,0,528,528,1056,528,0,0,528,528,1056,0,0,0,32,0,0,528,0,./objects//atax.pgo.merged.ll,print_array,for.body,True,False,448,416,18014400000000000,32,0,22
51,11,4,0,0,3,0,31,15,0,0,2,2,0,0,0,3,0,51,0,11,4,0,11,11,22,11,0,0,11,11,22,0,0,0,0,0,0,11,0,./objects//atax.pgo.merged.ll,print_array,entry,True,False,15,31,562941600000000,1,0,21
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//atax.pgo.merged.ll,main,if.then,True,False,2,3,353218700000000,1,0,2
12,3,2,0,1,2,0,7,2,0,0,0,0,0,0,0,5,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//atax.pgo.merged.ll,main,land.lhs.true,True,False,2,7,6004800000000000,1,0,1
21,5,3,0,0,2,0,15,8,0,0,2,2,0,0,0,6,0,21,0,5,3,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//atax.pgo.merged.ll,xmalloc,if.then,True,False,8,15,5504400000000000,1,0,36
13,3,1,0,0,0,0,3,4,0,0,0,1,0,0,0,7,0,13,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//atax.pgo.merged.ll,xmalloc,if.end,True,False,4,3,12510000000000000,1,0,35
2,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,8,0,2,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//atax.pgo.merged.ll,xmalloc,entry,True,False,1,3,15262200000000000,1,0,34
20,8,4,0,1,1,1,20,9,0,0,1,1,0,0,0,9,0,20,0,8,4,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//atax.pgo.merged.ll,xmalloc,entry,True,False,9,20,18014400000000000,1,0,33
5,3,2,0,0,0,0,6,3,0,0,0,0,1,0,0,10,0,5,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,1,0,0,3,0,./objects//atax.pgo.merged.ll,polybench_alloc_data,entry,True,False,3,6,18014400000000000,1,0,32
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//atax.pgo.merged.ll,init_array,for.end24,True,False,0,0,36168990000,1,0,10
58777974,18933014,2992174,0,499012,0,996124,32381634,17937834,0,0,0,0,4980620,0,0,12,0,58777974,0,18933014,2992174,0,18933014,18933014,37866028,18933014,0,0,18933014,18933014,37866028,0,0,0,4980620,0,0,18933014,0,./objects//atax.pgo.merged.ll,init_array,vector.ph2,True,False,2852,3802,34378620000000,950,0,7
36,6,6,0,0,6,0,18,6,0,0,0,0,0,0,0,13,0,36,0,6,6,0,6,6,12,6,0,0,6,6,12,0,0,0,0,0,0,6,0,./objects//atax.pgo.merged.ll,init_array,vector.ph2.preheader,True,False,6,18,36168990000,1,0,6
16800,3150,1925,0,175,0,525,7350,2625,0,0,0,0,525,0,0,14,0,16800,0,3150,1925,0,3150,3150,6300,3150,0,0,3150,3150,6300,0,0,0,525,0,0,3150,0,./objects//atax.pgo.merged.ll,init_array,vector.body,True,False,2625,7350,6329573000000,175,0,5
36,6,6,0,0,6,0,18,6,0,0,0,0,0,0,0,15,0,36,0,6,6,0,6,6,12,6,0,0,6,6,12,0,0,0,0,0,0,6,0,./objects//atax.pgo.merged.ll,init_array,entry,True,False,6,18,36168990000,1,0,4
36,6,0,0,0,0,0,5,10,0,0,0,1,0,0,0,16,0,36,0,6,0,0,6,6,12,6,0,0,6,6,12,0,0,0,0,0,0,6,0,./objects//atax.pgo.merged.ll,kernel_atax,for.end40,True,False,10,5,27113810000,1,0,20
66101736,16398841,15237412,0,1160485,5964069,2982505,49201646,13416328,0,0,0,0,2981555,3986427,0,17,0,66101736,0,16398841,15237412,0,16398841,16398841,32797682,16398841,0,0,16398841,16398841,32797682,0,0,0,2981555,0,3986427,16398841,0,./objects//atax.pgo.merged.ll,kernel_atax,for.body3,True,False,0,2852,25771670000000,950,0,12
44,20,7,0,0,0,0,42,25,0,0,1,1,0,0,0,18,0,44,0,20,7,0,20,20,40,20,0,0,20,20,40,0,0,0,0,0,0,20,0,./objects//atax.pgo.merged.ll,kernel_atax,entry,True,False,25,42,27113810000,1,0,11
71,19,5,0,1,0,0,42,28,0,0,6,6,0,0,0,19,0,71,0,19,5,0,19,19,38,19,0,0,19,19,38,0,0,0,0,0,0,19,0,./objects//atax.pgo.merged.ll,main,entry,False,False,28,42,18014400000000000,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//atax.pgo.merged.ll,polybench_flush_cache,entry,False,False,0,0,18014400000000000,1,0,26
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//atax.pgo.merged.ll,polybench_prepare_instruments,entry,False,False,0,0,18014400000000000,1,0,27
7,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,22,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//atax.pgo.merged.ll,polybench_timer_start,entry,False,False,0,3,18014400000000000,1,0,28
7,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,23,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//atax.pgo.merged.ll,polybench_timer_stop,entry,False,False,0,3,18014400000000000,1,0,29
17,4,3,0,0,2,0,13,3,0,0,0,0,0,1,0,24,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,1,4,0,./objects//atax.pgo.merged.ll,polybench_timer_print,entry,False,False,3,13,18014400000000000,1,0,30
1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,0,1,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//atax.pgo.merged.ll,polybench_free_data,entry,False,False,0,3,18014400000000000,1,0,31
