cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
63,12,1,0,0,0,0,20,22,0,0,4,5,0,0,1,0,0,63,0,12,1,0,12,12,24,12,0,0,12,12,24,0,0,0,0,1,0,12,0,./objects//correlation.pgo.merged.ll,main,if.end,True,False,22,20,42932370000,1,0,0
58,12,4,0,0,3,0,28,20,0,0,1,1,0,0,1,1,0,58,0,12,4,0,12,12,24,12,0,0,12,12,24,0,0,0,0,1,0,12,0,./objects//correlation.pgo.merged.ll,print_array,for.end12,True,False,20,28,12338910000000,1,0,1
65761,29262,23655,0,3417,5840,0,57995,41967,0,0,2190,2190,1460,0,14165,2,0,65761,0,29262,23655,0,29262,29262,58524,29262,0,0,29262,29262,58524,0,0,0,1460,14165,0,29262,0,./objects//correlation.pgo.merged.ll,print_array,for.cond2.preheader,True,False,0,0,6132619000000000,497,0,2
60,12,3,0,0,3,0,35,16,0,0,2,2,0,0,0,3,0,60,0,12,3,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//correlation.pgo.merged.ll,print_array,entry,True,False,16,35,12338910000000,1,0,3
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//correlation.pgo.merged.ll,main,if.then,True,False,2,3,841799800,1,0,4
12,3,2,0,1,2,0,7,2,0,0,0,0,0,0,1,5,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,1,0,3,0,./objects//correlation.pgo.merged.ll,main,land.lhs.true,True,False,2,7,14310790000,1,0,5
44,9,2,0,0,0,1,11,14,0,0,0,1,0,0,1,6,0,44,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,1,0,9,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.end133,True,False,14,11,71485600,1,0,6
11344346607,2775609406,2522888805,0,252721001,1008002000,504721402,8322142010,2271611206,0,0,0,0,504361401,1008002000,1514166204,7,0,11344346607,0,2775609406,2522888805,0,2775609406,2775609406,5551218812,2775609406,0,0,2775609406,2775609406,5551218812,0,0,0,504361401,1514166204,1008002000,2775609406,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.cond85.loopexit,False,False,4200,3000,42891360000,600,0,7
3,3,2,0,1,0,0,3,2,0,0,0,0,0,0,1,8,0,3,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,1,0,3,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.body96.preheader.preheader,True,False,2,3,71485600,1,0,8
55813732,10074590,7556292,0,1259500,3777095,2098699,31477661,7976591,0,0,419600,419600,1678398,2517597,3358898,9,0,55813732,0,10074590,7556292,0,10074590,10074590,20149180,10074590,0,0,10074590,10074590,20149180,0,0,0,1678398,3358898,2517597,10074590,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.cond61.preheader,True,False,0,2802,50075660000,700,0,9
22,2,1,0,0,0,1,6,1,0,0,0,0,0,1,0,10,0,22,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,1,2,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.cond61.preheader.preheader,True,False,1,6,71485600,1,0,10
21442950,5466350,5042097,0,421250,1679899,840699,16390647,4625951,0,0,300,300,840099,2519397,3360998,11,0,21442950,0,5466350,5042097,0,5466350,5466350,10932700,5466350,0,0,5466350,5466350,10932700,0,0,0,840099,3360998,2519397,5466350,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.body17,True,False,0,1802,42927100000,600,0,11
13,3,3,0,0,2,1,10,2,0,0,0,0,0,0,0,12,0,13,0,3,3,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.body17.preheader,True,False,2,10,71485600,1,0,12
9028519,2309523,2099347,0,210174,838298,839498,8181815,1470625,0,0,0,0,600,838898,1259849,13,0,9028519,0,2309523,2099347,0,2309523,2309523,4619046,2309523,0,0,2309523,2309523,4619046,0,0,0,600,1259849,838898,2309523,0,./objects//correlation.pgo.merged.ll,kernel_correlation,for.body,True,False,0,1802,42927100000,600,0,13
31,7,1,0,0,0,0,13,8,0,0,0,0,0,0,1,14,0,31,0,7,1,0,7,7,14,7,0,0,7,7,14,0,0,0,0,1,0,7,0,./objects//correlation.pgo.merged.ll,kernel_correlation,entry,True,False,8,13,71485600,1,0,14
13,4,2,0,1,1,0,12,4,0,0,1,1,0,0,1,15,0,13,0,4,2,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,0,4,0,./objects//correlation.pgo.merged.ll,main,init_array.exit,True,False,4,12,42932370000,1,0,15
16791686,4201599,2100799,0,420300,0,419600,7978694,3782699,0,0,0,0,839199,0,1680500,16,0,16791686,0,4201599,2100799,0,4201599,4201599,8403198,4201599,0,0,4201599,4201599,8403198,0,0,0,839199,1680500,0,4201599,0,./objects//correlation.pgo.merged.ll,main,vector.ph,True,False,2802,3502,30074120000000,700,0,16
21,5,3,0,0,2,0,15,8,0,0,2,2,0,0,0,17,0,21,0,5,3,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//correlation.pgo.merged.ll,xmalloc,if.then,True,False,8,15,5504400000000000,1,0,17
13,3,1,0,0,0,0,3,4,0,0,0,1,0,0,1,18,0,13,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,1,0,3,0,./objects//correlation.pgo.merged.ll,xmalloc,if.end,True,False,4,3,12510000000000000,1,0,18
2,2,1,0,1,0,0,3,1,0,0,0,0,0,0,1,19,0,2,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,1,0,2,0,./objects//correlation.pgo.merged.ll,xmalloc,entry,True,False,1,3,15262200000000000,1,0,19
20,8,5,0,1,1,1,20,9,0,0,1,1,0,0,3,20,0,20,0,8,5,0,8,8,16,8,0,0,8,8,16,0,0,0,0,3,0,8,0,./objects//correlation.pgo.merged.ll,xmalloc,entry,True,False,9,20,18014400000000000,1,0,20
5,3,2,0,0,0,0,6,3,0,0,0,0,1,0,1,21,0,5,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,1,1,0,3,0,./objects//correlation.pgo.merged.ll,polybench_alloc_data,entry,True,False,3,6,18014400000000000,1,0,21
77,18,7,0,0,3,0,39,26,0,0,4,4,0,0,0,22,0,77,0,18,7,0,18,18,36,18,0,0,18,18,36,0,0,0,0,0,0,18,0,./objects//correlation.pgo.merged.ll,main,entry,False,False,26,39,42932370000,1,0,22
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//correlation.pgo.merged.ll,polybench_flush_cache,entry,False,False,0,0,18014400000000000,1,0,23
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//correlation.pgo.merged.ll,polybench_prepare_instruments,entry,False,False,0,0,18014400000000000,1,0,24
7,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,25,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//correlation.pgo.merged.ll,polybench_timer_start,entry,False,False,0,3,18014400000000000,1,0,25
7,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,26,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//correlation.pgo.merged.ll,polybench_timer_stop,entry,False,False,0,3,18014400000000000,1,0,26
17,4,3,0,0,2,0,13,3,0,0,0,0,0,1,1,27,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,1,4,0,./objects//correlation.pgo.merged.ll,polybench_timer_print,entry,False,False,3,13,18014400000000000,1,0,27
1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,0,1,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//correlation.pgo.merged.ll,polybench_free_data,entry,False,False,0,3,18014400000000000,1,0,28
