module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//covariance.pgo.merged.ll,main,entry,0,61,1,42932400000,3,0,0,0,31,20,14,6,0,0,0,3,3,0,0,0,31,20,0,0,0,61,0,14,6,0,14,14,28,14,0,0,14,14,28,0,0,0,0,0,0,14,0
./objects//covariance.pgo.merged.ll,main,vector.ph,1,1401,700,30074100000000,0,0,0,0,1401,1401,1401,700,0,0,0,0,0,0,0,0,1401,1401,0,0,0,1401,0,1401,700,0,1401,1401,2802,1401,0,0,1401,1401,2802,0,0,0,0,0,0,1401,0
./objects//covariance.pgo.merged.ll,main,vector.body,2,15525200,419599,18014400000000000,0,419599,0,0,6713590,3356800,3776400,1678400,0,419599,0,0,0,839199,0,1258800,6713590,3356800,0,0,0,15525200,0,3776400,1678400,0,3776400,3776400,7552800,3776400,0,0,3776400,3776400,7552800,0,0,0,839199,1258800,0,3776400,0
./objects//covariance.pgo.merged.ll,main,for.inc10.i,3,2802,700,30074100000000,0,0,0,0,2802,3502,2802,2102,0,700,0,0,0,0,0,2102,2802,3502,0,0,0,2802,0,2802,2102,0,2802,2802,5604,2802,0,0,2802,2802,5604,0,0,0,0,2102,0,2802,0
./objects//covariance.pgo.merged.ll,main,init_array.exit,4,13,1,42932400000,1,0,0,0,11,4,4,2,0,1,0,1,1,0,0,1,11,4,0,0,0,13,0,4,2,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,0,4,0
./objects//covariance.pgo.merged.ll,main,land.lhs.true,5,12,1,14310800000,2,0,0,0,7,2,3,2,0,1,0,0,0,0,0,1,7,2,0,0,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,1,0,3,0
./objects//covariance.pgo.merged.ll,main,if.then,6,5,1,841800000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//covariance.pgo.merged.ll,main,if.end,7,51,1,42932400000,0,0,0,0,15,16,9,0,0,0,0,3,4,0,0,0,15,16,0,0,0,51,0,9,0,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0
./objects//covariance.pgo.merged.ll,kernel_covariance,entry,8,0,1,71426100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.body,9,600,600,42891400000,0,600,0,0,1802,0,600,600,0,0,0,0,0,0,0,0,1802,0,0,0,0,600,0,600,600,0,600,600,1200,600,0,0,600,600,1200,0,0,0,0,0,0,600,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.body3,10,9011700,209575,14969100000000,838298,838298,0,0,8173410,1467020,2305320,2095750,0,209575,0,0,0,0,838298,1257450,8173410,1467020,0,0,0,9011700,0,2305320,2095750,0,2305320,2305320,4610640,2305320,0,0,2305320,2305320,4610640,0,0,0,0,1257450,838298,2305320,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.end,11,16214,600,42891400000,0,600,0,0,6606,3603,3603,3002,0,600,0,0,0,600,600,2402,6606,3603,0,0,0,16214,0,3603,3002,0,3603,3603,7206,3603,0,0,3603,3603,7206,0,0,0,600,2402,600,3603,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.cond18.preheader.preheader,12,7,1,71426100,0,0,0,0,14,8,7,7,0,0,0,0,0,0,0,5,14,8,0,0,0,7,0,7,7,0,7,7,14,7,0,0,7,7,14,0,0,0,0,5,0,7,0
./objects//covariance.pgo.merged.ll,kernel_covariance,vector.memcheck,13,1401,700,50034000000,0,0,0,0,2102,700,1401,700,0,700,0,0,0,0,0,700,2102,700,0,0,0,1401,0,1401,700,0,1401,1401,2802,1401,0,0,1401,1401,2802,0,0,0,0,700,0,1401,0
./objects//covariance.pgo.merged.ll,kernel_covariance,vector.body.preheader,14,0,695,49643100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//covariance.pgo.merged.ll,kernel_covariance,vector.body,15,7042020,103559,7396820000000,828473,414236,0,0,5695750,1553390,2071180,1864060,0,207118,0,0,0,0,0,621354,5695750,1553390,0,0,0,7042020,0,2071180,1864060,0,2071180,2071180,4142360,2071180,0,0,2071180,2071180,4142360,0,0,0,0,621354,0,2071180,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.body20.preheader,16,0,5,390890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.body20,17,279,5,390890000,33,16,0,0,213,49,66,60,0,5,0,0,0,0,16,27,213,49,0,0,0,279,0,66,60,0,66,66,132,66,0,0,66,66,132,0,0,0,0,27,16,66,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.inc30,18,2802,700,50034000000,0,0,0,0,2802,3502,2802,2102,0,700,0,0,0,0,0,2102,2802,3502,0,0,0,2802,0,2802,2102,0,2802,2802,5604,2802,0,0,2802,2802,5604,0,0,0,0,2102,0,2802,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.cond33.preheader,19,9,1,71426100,1,0,0,0,5,1,1,1,0,0,0,0,0,0,1,1,5,1,0,0,0,9,0,1,1,0,1,1,2,1,0,0,1,1,2,0,0,0,0,1,1,1,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.cond36.preheader,20,2402,600,42891400000,0,0,0,0,1802,2402,1201,1201,0,0,0,0,0,600,0,1201,1802,2402,0,0,0,2402,0,1201,1201,0,1201,1201,2402,1201,0,0,1201,1201,2402,0,0,0,600,1201,0,1201,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.body38,21,720601,360301,25734900000000,0,360301,0,0,2161800,360301,720601,720601,0,0,0,0,0,0,0,360301,2161800,360301,0,0,0,720601,0,720601,720601,0,720601,720601,1441202,720601,0,0,720601,720601,1441202,0,0,0,0,360301,0,720601,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.body45,22,11349500000,252210000,18014400000000000,1008840000,504421000,0,0,8322940000,2269890000,2774310000,2522100000,0,252210000,0,0,0,504421000,1008840000,1513260000,8322940000,2269890000,0,0,0,11349500000,0,2774310000,2522100000,0,2774310000,2774310000,5548620000,2774310000,0,0,2774310000,2774310000,5548620000,0,0,0,504421000,1513260000,1008840000,2774310000,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.end60,23,11529600,360301,25734900000000,0,720601,0,0,6485410,3603010,3242710,2882400,0,360301,0,0,0,720601,360301,2161800,6485410,3603010,0,0,0,11529600,0,3242710,2882400,0,3242710,3242710,6485420,3242710,0,0,3242710,3242710,6485420,0,0,0,720601,2161800,360301,3242710,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.inc78,24,2402,600,42891400000,0,0,0,0,2402,3002,2402,1802,0,600,0,0,0,0,0,1802,2402,3002,0,0,0,2402,0,2402,1802,0,2402,2402,4804,2402,0,0,2402,2402,4804,0,0,0,0,1802,0,2402,0
./objects//covariance.pgo.merged.ll,kernel_covariance,for.end80,25,6,1,71426100,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//covariance.pgo.merged.ll,print_array,entry,26,60,1,12338900000000,3,0,0,0,35,16,12,3,0,0,0,2,2,0,0,0,35,16,0,0,0,60,0,12,3,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0
./objects//covariance.pgo.merged.ll,print_array,for.cond2.preheader,27,0,497,6132620000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//covariance.pgo.merged.ll,print_array,for.body4,28,13140,1460,18014400000000000,0,0,0,0,18980,14600,10220,8760,0,1460,0,0,0,1460,0,7300,18980,14600,0,0,0,13140,0,10220,8760,0,10220,10220,20440,10220,0,0,10220,10220,20440,0,0,0,1460,7300,0,10220,0
./objects//covariance.pgo.merged.ll,print_array,if.then,29,11680,730,9007200000000000,1460,0,0,0,7300,4380,2920,2190,0,0,0,730,730,0,0,0,7300,4380,0,0,0,11680,0,2920,2190,0,2920,2920,5840,2920,0,0,2920,2920,5840,0,0,0,0,0,0,2920,0
./objects//covariance.pgo.merged.ll,print_array,if.end,30,37959,1460,18014400000000000,4380,0,0,0,27739,17520,13140,10220,0,1460,0,1460,1460,0,0,4380,27739,17520,0,0,0,37959,0,13140,10220,0,13140,13140,26280,13140,0,0,13140,13140,26280,0,0,0,0,4380,0,13140,0
./objects//covariance.pgo.merged.ll,print_array,for.inc10,31,2982,497,6132620000000000,0,0,0,0,3976,5467,2982,2485,0,497,0,0,0,0,0,2485,3976,5467,0,0,0,2982,0,2982,2485,0,2982,2982,5964,2982,0,0,2982,2982,5964,0,0,0,0,2485,0,2982,0
./objects//covariance.pgo.merged.ll,print_array,for.end12,32,58,1,12338900000000,3,0,0,0,28,20,12,4,0,0,0,1,1,0,0,1,28,20,0,0,0,58,0,12,4,0,12,12,24,12,0,0,12,12,24,0,0,0,0,1,0,12,0
./objects//covariance.pgo.merged.ll,polybench_flush_cache,entry,33,6,1,18014400000000000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//covariance.pgo.merged.ll,polybench_prepare_instruments,entry,34,6,1,18014400000000000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//covariance.pgo.merged.ll,polybench_timer_start,entry,35,7,1,18014400000000000,0,1,0,0,3,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0
./objects//covariance.pgo.merged.ll,polybench_timer_stop,entry,36,7,1,18014400000000000,0,1,0,0,3,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0
./objects//covariance.pgo.merged.ll,polybench_timer_print,entry,37,17,1,18014400000000000,2,0,0,0,13,3,4,3,0,0,0,0,0,0,1,1,13,3,0,0,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,1,4,0
./objects//covariance.pgo.merged.ll,polybench_free_data,entry,38,1,1,18014400000000000,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//covariance.pgo.merged.ll,polybench_alloc_data,entry,39,5,1,18014400000000000,0,0,0,0,6,3,3,2,0,0,0,0,0,1,0,1,6,3,0,0,0,5,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,1,1,0,3,0
