cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
51,9,0,0,0,0,0,15,16,0,0,3,4,0,0,0,0,0,51,0,9,0,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0,./objects//covariance.pgo.merged.ll,main,if.end,True,False,16,15,42932370000,1,0,7
58,12,4,0,0,3,0,28,20,0,0,1,1,0,0,0,1,0,58,0,12,4,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//covariance.pgo.merged.ll,print_array,for.end12,True,False,20,28,12338910000000,1,0,32
65761,29262,20735,0,3417,5840,0,57995,41967,0,0,2190,2190,1460,0,0,2,0,65761,0,29262,20735,0,29262,29262,58524,29262,0,0,29262,29262,58524,0,0,0,1460,0,0,29262,0,./objects//covariance.pgo.merged.ll,print_array,for.cond2.preheader,True,False,0,0,6132619000000000,497,0,27
60,12,3,0,0,3,0,35,16,0,0,2,2,0,0,0,3,0,60,0,12,3,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//covariance.pgo.merged.ll,print_array,entry,True,False,16,35,12338910000000,1,0,26
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//covariance.pgo.merged.ll,main,if.then,True,False,2,3,841799800,1,0,6
12,3,2,0,1,2,0,7,2,0,0,0,0,0,0,0,5,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//covariance.pgo.merged.ll,main,land.lhs.true,True,False,2,7,14310790000,1,0,5
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//covariance.pgo.merged.ll,kernel_covariance,for.end80,True,False,0,0,71426080,1,0,25
11361725025,2778280909,2525349709,0,252571302,1008842000,505501702,8331594417,2273861711,0,0,0,0,505142002,1009202301,0,7,0,11361725025,0,2778280909,2525349709,0,2778280909,2778280909,5556561818,2778280909,0,0,2778280909,2778280909,5556561818,0,0,0,505142002,0,1009202301,2778280909,0,./objects//covariance.pgo.merged.ll,kernel_covariance,for.cond36.preheader,True,False,2402,1802,42891360000,601,0,20
9,1,1,0,0,1,0,5,1,0,0,0,0,0,1,0,8,0,9,0,1,1,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,1,1,0,./objects//covariance.pgo.merged.ll,kernel_covariance,for.cond33.preheader,True,False,1,5,71426080,1,0,19
7046499,2075451,1866925,0,208523,828506,414252,5700866,1557637,0,0,0,0,0,16,0,9,0,7046499,0,2075451,1866925,0,2075451,2075451,4150902,2075451,0,0,2075451,2075451,4150902,0,0,0,0,0,16,2075451,0,./objects//covariance.pgo.merged.ll,kernel_covariance,vector.memcheck,True,False,700,2102,50033970000,700,0,13
7,7,3,0,0,0,0,14,8,0,0,0,0,0,0,0,10,0,7,0,7,3,0,7,7,14,7,0,0,7,7,14,0,0,0,0,0,0,7,0,./objects//covariance.pgo.merged.ll,kernel_covariance,for.cond18.preheader.preheader,True,False,8,14,71426080,1,0,12
9028520,2309524,2099348,0,210175,838298,839500,8181815,1470625,0,0,0,0,601,838899,0,11,0,9028520,0,2309524,2099348,0,2309524,2309524,4619048,2309524,0,0,2309524,2309524,4619048,0,0,0,601,0,838899,2309524,0,./objects//covariance.pgo.merged.ll,kernel_covariance,for.body,True,False,0,1802,42891360000,601,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./objects//covariance.pgo.merged.ll,kernel_covariance,entry,True,False,0,0,71426080,1,0,8
13,4,2,0,1,1,0,11,4,0,0,1,1,0,0,0,13,0,13,0,4,2,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,0,4,0,./objects//covariance.pgo.merged.ll,main,init_array.exit,True,False,4,11,42932370000,1,0,4
15529383,3780598,1681200,0,420300,0,419600,6717794,3361699,0,0,0,0,839199,0,0,14,0,15529383,0,3780598,1681200,0,3780598,3780598,7561196,3780598,0,0,3780598,3780598,7561196,0,0,0,839199,0,0,3780598,0,./objects//covariance.pgo.merged.ll,main,vector.ph,True,False,1401,1401,30074120000000,700,0,1
