module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//durbin.pgo.merged.ll,main,entry,0,73,1,144115000000000,6,0,0,0,36,19,15,8,0,0,0,2,2,0,0,0,36,19,0,0,0,73,0,15,8,0,15,15,30,15,0,0,15,15,30,0,0,0,0,0,0,15,0
./objects//durbin.pgo.merged.ll,main,vector.body,1,3500,125,18014400000000000,0,500,0,0,4125,1500,2000,750,0,125,0,0,0,0,0,0,4125,1500,0,0,0,3500,0,2000,750,0,2000,2000,4000,2000,0,0,2000,2000,4000,0,0,0,0,0,0,2000,0
./objects//durbin.pgo.merged.ll,main,init_array.exit,2,7,1,144115000000000,0,0,0,0,6,3,3,1,0,1,0,1,1,0,0,0,6,3,0,0,0,7,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0
./objects//durbin.pgo.merged.ll,main,land.lhs.true,3,12,1,48038400000000,2,0,0,0,7,2,3,2,0,1,0,0,0,0,0,0,7,2,0,0,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0
./objects//durbin.pgo.merged.ll,main,if.then,4,5,1,2825750000000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//durbin.pgo.merged.ll,main,if.end,5,41,1,144115000000000,0,0,0,0,12,14,8,1,0,0,0,2,3,0,0,0,12,14,0,0,0,41,0,8,1,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0
./objects//durbin.pgo.merged.ll,kernel_durbin,entry,6,63,1,72625000000,4,2,0,0,38,18,18,10,0,0,0,0,0,0,0,0,38,18,0,0,0,63,0,18,10,0,18,18,36,18,0,0,18,18,36,0,0,0,0,0,0,18,0
./objects//durbin.pgo.merged.ll,kernel_durbin,for.body,7,3000,1000,72625000000000,0,0,0,0,3000,3000,3000,2000,0,1000,0,0,0,0,0,0,3000,3000,0,0,0,3000,0,3000,2000,0,3000,3000,6000,3000,0,0,3000,3000,6000,0,0,0,0,0,0,3000,0
./objects//durbin.pgo.merged.ll,kernel_durbin,,8,8,8,567383000000,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0
./objects//durbin.pgo.merged.ll,kernel_durbin,for.body.new,9,5953,992,72057600000000,992,0,0,0,5953,1984,1984,992,0,0,0,0,0,0,0,0,5953,1984,0,0,0,5953,0,1984,992,0,1984,1984,3968,1984,0,0,1984,1984,3968,0,0,0,0,0,0,1984,0
./objects//durbin.pgo.merged.ll,kernel_durbin,for.body6,10,21580100,248047,18014400000000000,1984370,0,0,0,13642600,5705080,4712890,4464840,0,248047,0,0,0,992187,1984370,0,13642600,5705080,0,0,0,21580100,0,4712890,4464840,0,4712890,4712890,9425780,4712890,0,0,4712890,4712890,9425780,0,0,0,992187,0,1984370,4712890,0
./objects//durbin.pgo.merged.ll,kernel_durbin,for.end.unr-lcssa,11,4000,1000,72625000000000,0,1000,0,0,10000,2000,4000,2000,0,1000,0,0,0,0,0,0,10000,2000,0,0,0,4000,0,4000,2000,0,4000,4000,8000,4000,0,0,4000,4000,8000,0,0,0,0,0,0,4000,0
./objects//durbin.pgo.merged.ll,kernel_durbin,for.body6.epil.preheader,12,1000,250,18156200000000,0,0,0,0,2000,2000,1000,750,0,0,0,0,0,0,0,0,2000,2000,0,0,0,1000,0,1000,750,0,1000,1000,2000,1000,0,0,1000,1000,2000,0,0,0,0,0,0,1000,0
