cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
41,8,1,0,0,0,0,12,14,0,0,2,3,0,0,0,0,0,41,0,8,1,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//durbin.pgo.merged.ll,main,if.end,True,False,14,12,144115200000000,1,0,5
46,9,2,0,0,2,0,23,15,0,0,1,1,0,0,0,1,0,46,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0,./objects//durbin.pgo.merged.ll,print_array,for.end,True,False,15,23,562941600000000,1,0,27
1136,528,384,0,64,80,0,1040,912,0,0,48,48,32,0,0,2,0,1136,0,528,384,0,528,528,1056,528,0,0,528,528,1056,0,0,0,32,0,0,528,0,./objects//durbin.pgo.merged.ll,print_array,for.body,True,False,448,416,18014400000000000,32,0,24
51,11,4,0,0,3,0,31,15,0,0,2,2,0,0,0,3,0,51,0,11,4,0,11,11,22,11,0,0,11,11,22,0,0,0,0,0,0,11,0,./objects//durbin.pgo.merged.ll,print_array,entry,True,False,15,31,562941600000000,1,0,23
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//durbin.pgo.merged.ll,main,if.then,True,False,2,3,2825750000000,1,0,4
12,3,2,0,1,2,0,7,2,0,0,0,0,0,0,0,5,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//durbin.pgo.merged.ll,main,land.lhs.true,True,False,2,7,48038400000000,1,0,3
43,8,1,0,0,0,0,7,14,0,0,0,1,0,0,0,6,0,43,0,8,1,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//durbin.pgo.merged.ll,kernel_durbin,for.end44,True,False,14,7,72624990000,1,0,22
33665352,8742635,7735449,0,503106,2990562,503598,23963237,9486011,0,0,1000,1000,1493285,1993383,0,7,0,33665352,0,8742635,7735449,0,8742635,8742635,17485270,8742635,0,0,8742635,8742635,17485270,0,0,0,1493285,0,1993383,8742635,0,./objects//durbin.pgo.merged.ll,kernel_durbin,for.body,True,False,3000,3000,72624980000000,1000,0,7
63,18,10,0,0,4,2,38,18,0,0,0,0,0,0,0,8,0,63,0,18,10,0,18,18,36,18,0,0,18,18,36,0,0,0,0,0,0,18,0,./objects//durbin.pgo.merged.ll,kernel_durbin,entry,True,False,18,38,72624990000,1,0,6
7,3,1,0,1,0,0,6,3,0,0,1,1,0,0,0,9,0,7,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//durbin.pgo.merged.ll,main,init_array.exit,True,False,3,6,144115200000000,1,0,2
