module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//floyd-warshall.pgo.merged.ll,main,entry,0,33,1,18014400000000000,0,0,0,0,18,12,9,2,0,1,0,3,3,0,0,1,18,12,0,0,0,33,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,1,0,9,0
./objects//floyd-warshall.pgo.merged.ll,main,land.lhs.true,1,12,1,6004800000000000,2,0,0,0,7,2,3,2,0,1,0,0,0,0,0,1,7,2,0,0,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,1,0,3,0
./objects//floyd-warshall.pgo.merged.ll,main,if.then,2,5,1,353219000000000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//floyd-warshall.pgo.merged.ll,main,if.end,3,29,1,18014400000000000,0,0,0,0,7,8,5,0,0,0,0,1,2,0,0,0,7,8,0,0,0,29,0,5,0,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0
./objects//floyd-warshall.pgo.merged.ll,init_array,entry,4,48,1,18401800000,8,0,0,0,24,8,8,8,0,0,0,0,0,0,0,0,24,8,0,0,0,48,0,8,8,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0
./objects//floyd-warshall.pgo.merged.ll,init_array,vector.ph,5,21008,1400,25771700000000,2801,1400,0,0,16806,5602,7002,5602,0,0,0,0,0,0,0,0,16806,5602,0,0,0,21008,0,7002,5602,0,7002,7002,14004,7002,0,0,7002,7002,14004,0,0,0,0,0,0,7002,0
./objects//floyd-warshall.pgo.merged.ll,init_array,vector.body,6,108663000,978950,18014400000000000,2936850,978950,0,0,100832000,53842200,54821200,5873700,0,978950,0,0,0,9789500,0,1957900,100832000,53842200,0,0,0,108663000,0,54821200,5873700,0,54821200,54821200,109642400,54821200,0,0,54821200,54821200,109642400,0,0,0,9789500,1957900,0,54821200,0
./objects//floyd-warshall.pgo.merged.ll,init_array,for.inc20,7,5602,1400,25771700000000,0,0,0,0,5602,7002,5602,4202,0,1400,0,0,0,0,0,4202,5602,7002,0,0,0,5602,0,5602,4202,0,5602,5602,11204,5602,0,0,5602,5602,11204,0,0,0,0,4202,0,5602,0
./objects//floyd-warshall.pgo.merged.ll,init_array,for.end22,8,6,1,18401800000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,entry,9,23,1,13233400,0,0,0,0,17,7,7,3,0,0,0,0,0,0,0,3,17,7,0,0,0,23,0,7,3,0,7,7,14,7,0,0,7,7,14,0,0,0,0,3,0,7,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.cond1.preheader,10,25209,1400,18533400000,0,0,0,0,42015,29410,22408,22408,0,0,0,0,0,1400,0,16806,42015,29410,0,0,0,25209,0,22408,22408,0,22408,22408,44816,22408,0,0,22408,22408,44816,0,0,0,1400,16806,0,22408,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.cond4.preheader,11,27440000,3920000,51875000000000,0,0,0,0,35280000,23520000,19600000,15680000,0,3920000,0,0,0,3920000,0,15680000,35280000,23520000,0,0,0,27440000,0,19600000,15680000,0,19600000,19600000,39200000,19600000,0,0,19600000,19600000,39200000,0,0,0,3920000,15680000,0,19600000,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.body6.preheader,12,0,30625,405273000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.body6,13,1470000,61250,810547000000,183750,61250,0,0,1347500,551250,612500,490000,0,122500,0,0,0,0,0,306250,1347500,551250,0,0,0,1470000,0,612500,490000,0,612500,612500,1225000,612500,0,0,612500,612500,1225000,0,0,0,0,306250,0,612500,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,vector.body.preheader,14,27225600,3889380,51469700000000,3889380,0,0,0,15557500,7778760,7778760,3889380,0,0,0,0,0,0,0,0,15557500,7778760,0,0,0,27225600,0,7778760,3889380,0,7778760,7778760,15557520,7778760,0,0,7778760,7778760,15557520,0,0,0,0,0,0,7778760,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,vector.body,15,53090000000,1361280000,18014400000000000,5445130000,2722560000,0,0,58535100000,23141800000,25864400000,10890300000,0,1361280000,0,0,0,0,0,2722560000,58535100000,23141800000,0,0,0,53090000000,0,25864400000,10890300000,0,25864400000,25864400000,51728800000,25864400000,0,0,25864400000,25864400000,51728800000,0,0,0,0,2722560000,0,25864400000,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.inc35,16,15680000,3920000,51875000000000,0,0,0,0,15680000,19600000,15680000,11760000,0,3920000,0,0,0,0,0,11760000,15680000,19600000,0,0,0,15680000,0,15680000,11760000,0,15680000,15680000,31360000,15680000,0,0,15680000,15680000,31360000,0,0,0,0,11760000,0,15680000,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.inc38,17,5602,1400,18533400000,0,0,0,0,5602,7002,5602,4202,0,1400,0,0,0,0,0,4202,5602,7002,0,0,0,5602,0,5602,4202,0,5602,5602,11204,5602,0,0,5602,5602,11204,0,0,0,0,4202,0,5602,0
./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.end40,18,30,1,13233400,0,0,0,0,4,8,5,0,0,0,0,0,1,0,0,0,4,8,0,0,0,30,0,5,0,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0
./objects//floyd-warshall.pgo.merged.ll,print_array,entry,19,60,1,12338900000000,3,0,0,0,35,16,12,3,0,0,0,2,2,0,0,0,35,16,0,0,0,60,0,12,3,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0
./objects//floyd-warshall.pgo.merged.ll,print_array,for.cond2.preheader,20,0,497,6132620000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//floyd-warshall.pgo.merged.ll,print_array,for.body4,21,13140,1460,18014400000000000,0,0,0,0,18980,14600,10220,8760,0,1460,0,0,0,1460,0,7300,18980,14600,0,0,0,13140,0,10220,8760,0,10220,10220,20440,10220,0,0,10220,10220,20440,0,0,0,1460,7300,0,10220,0
./objects//floyd-warshall.pgo.merged.ll,print_array,if.then,22,11680,730,9007200000000000,1460,0,0,0,7300,4380,2920,2190,0,0,0,730,730,0,0,0,7300,4380,0,0,0,11680,0,2920,2190,0,2920,2920,5840,2920,0,0,2920,2920,5840,0,0,0,0,0,0,2920,0
./objects//floyd-warshall.pgo.merged.ll,print_array,if.end,23,35039,1460,18014400000000000,4380,0,0,0,27739,16060,11680,8760,0,1460,0,1460,1460,0,0,4380,27739,16060,0,0,0,35039,0,11680,8760,0,11680,11680,23360,11680,0,0,11680,11680,23360,0,0,0,0,4380,0,11680,0
./objects//floyd-warshall.pgo.merged.ll,print_array,for.inc10,24,2982,497,6132620000000000,0,0,0,0,3479,4970,2982,2485,0,497,0,0,0,0,0,2485,3479,4970,0,0,0,2982,0,2982,2485,0,2982,2982,5964,2982,0,0,2982,2982,5964,0,0,0,0,2485,0,2982,0
./objects//floyd-warshall.pgo.merged.ll,print_array,for.end12,25,58,1,12338900000000,3,0,0,0,28,20,12,4,0,0,0,1,1,0,0,1,28,20,0,0,0,58,0,12,4,0,12,12,24,12,0,0,12,12,24,0,0,0,0,1,0,12,0
