cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
29,5,0,0,0,0,0,7,8,0,0,1,2,0,0,0,0,0,29,0,5,0,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//floyd-warshall.pgo.merged.ll,main,if.end,True,False,8,7,18014400000000000,1,0,3
58,12,4,0,0,3,0,28,20,0,0,1,1,0,0,0,1,0,58,0,12,4,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//floyd-warshall.pgo.merged.ll,print_array,for.end12,True,False,20,28,12338910000000,1,0,25
62841,27802,19275,0,3417,5840,0,57498,40010,0,0,2190,2190,1460,0,0,2,0,62841,0,27802,19275,0,27802,27802,55604,27802,0,0,27802,27802,55604,0,0,0,1460,0,0,27802,0,./objects//floyd-warshall.pgo.merged.ll,print_array,for.cond2.preheader,True,False,0,0,6132619000000000,497,0,20
60,12,3,0,0,3,0,35,16,0,0,2,2,0,0,0,3,0,60,0,12,3,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//floyd-warshall.pgo.merged.ll,print_array,entry,True,False,16,35,12338910000000,1,0,19
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//floyd-warshall.pgo.merged.ll,main,if.then,True,False,2,3,353218700000000,1,0,2
12,3,2,0,1,2,0,7,2,0,0,0,0,0,0,0,5,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//floyd-warshall.pgo.merged.ll,main,land.lhs.true,True,False,2,7,6004800000000000,1,0,1
21,5,3,0,0,2,0,15,8,0,0,2,2,0,0,0,6,0,21,0,5,3,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//floyd-warshall.pgo.merged.ll,xmalloc,if.then,True,False,8,15,10008000000000000,1,0,36
13,3,1,0,0,0,0,3,4,0,0,0,1,0,0,0,7,0,13,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//floyd-warshall.pgo.merged.ll,xmalloc,if.end,True,False,4,3,8006399000000000,1,0,35
2,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,8,0,2,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//floyd-warshall.pgo.merged.ll,xmalloc,entry,True,False,1,3,13010400000000000,1,0,34
20,8,4,0,1,1,1,20,9,0,0,1,1,0,0,0,9,0,20,0,8,4,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//floyd-warshall.pgo.merged.ll,xmalloc,entry,True,False,9,20,18014400000000000,1,0,33
5,3,2,0,0,0,0,6,3,0,0,0,0,1,0,0,10,0,5,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,1,0,0,3,0,./objects//floyd-warshall.pgo.merged.ll,polybench_alloc_data,entry,True,False,3,6,18014400000000000,1,0,32
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//floyd-warshall.pgo.merged.ll,init_array,for.end22,True,False,0,0,18401760000,1,0,8
108690010,54833785,5883501,0,980350,2939650,980350,100854208,53854835,0,0,0,0,9789496,0,0,12,0,108690010,0,54833785,5883501,0,54833785,54833785,109667570,54833785,0,0,54833785,54833785,109667570,0,0,0,9789496,0,0,54833785,0,./objects//floyd-warshall.pgo.merged.ll,init_array,vector.ph,True,False,5602,16806,25771670000000,1400,0,5
48,8,8,0,0,8,0,24,8,0,0,0,0,0,0,0,13,0,48,0,8,8,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//floyd-warshall.pgo.merged.ll,init_array,entry,True,False,8,24,18401760000,1,0,4
30,5,0,0,0,0,0,4,8,0,0,0,1,0,0,0,14,0,30,0,5,0,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.end40,True,False,8,4,13233410,1,0,18
53161846482,25908059285,10918114954,0,1369245906,5449201128,2722625250,58603042658,23193286449,0,0,0,0,3921403,0,0,15,0,53161846482,0,25908059285,10918114954,0,25908059285,25908059285,51816118570,25908059285,0,0,25908059285,25908059285,51816118570,0,0,0,3921403,0,0,25908059285,0,./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,for.cond1.preheader,True,False,29411,42015,18533390000,1400,0,10
23,7,0,0,0,0,0,17,7,0,0,0,0,0,0,0,16,0,23,0,7,0,0,7,7,14,7,0,0,7,7,14,0,0,0,0,0,0,7,0,./objects//floyd-warshall.pgo.merged.ll,kernel_floyd_warshall,entry,True,False,7,17,13233410,1,0,9
33,9,2,0,1,0,0,18,12,0,0,3,3,0,0,0,17,0,33,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0,./objects//floyd-warshall.pgo.merged.ll,main,entry,False,False,12,18,18014400000000000,1,0,0
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//floyd-warshall.pgo.merged.ll,polybench_flush_cache,entry,False,False,0,0,18014400000000000,1,0,26
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,6,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//floyd-warshall.pgo.merged.ll,polybench_prepare_instruments,entry,False,False,0,0,18014400000000000,1,0,27
7,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,20,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//floyd-warshall.pgo.merged.ll,polybench_timer_start,entry,False,False,0,3,18014400000000000,1,0,28
7,2,1,0,0,0,1,3,0,0,0,0,1,0,0,0,21,0,7,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//floyd-warshall.pgo.merged.ll,polybench_timer_stop,entry,False,False,0,3,18014400000000000,1,0,29
17,4,3,0,0,2,0,13,3,0,0,0,0,0,1,0,22,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,1,4,0,./objects//floyd-warshall.pgo.merged.ll,polybench_timer_print,entry,False,False,3,13,18014400000000000,1,0,30
1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,0,1,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//floyd-warshall.pgo.merged.ll,polybench_free_data,entry,False,False,0,3,18014400000000000,1,0,31
