module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//gemm.pgo.merged.ll,main,entry,0,76,1,18014400000000000,2,1,0,0,57,29,22,10,0,1,0,5,5,0,0,4,57,29,0,0,0,76,0,22,10,0,22,22,44,22,0,0,22,22,44,0,0,0,0,4,0,22,0
./objects//gemm.pgo.merged.ll,main,land.lhs.true,1,17,1,6004800000000000,3,0,0,0,10,3,4,3,0,1,0,0,0,0,0,1,10,3,0,0,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,0,4,0
./objects//gemm.pgo.merged.ll,main,if.then,2,5,1,353219000000000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//gemm.pgo.merged.ll,main,if.end,3,58,1,18014400000000000,0,0,0,0,17,20,11,1,0,0,0,3,4,0,0,1,17,20,0,0,0,58,0,11,1,0,11,11,22,11,0,0,11,11,22,0,0,0,0,1,0,11,0
./objects//gemm.pgo.merged.ll,init_array,entry,4,34,1,54643000000,5,2,0,0,23,7,9,9,0,0,0,0,0,0,0,0,23,7,0,0,0,34,0,9,9,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0
./objects//gemm.pgo.merged.ll,init_array,vector.ph,5,1001,500,27348800000000,0,0,0,0,1001,1001,1001,500,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,0,1001,500,0,1001,1001,2002,1001,0,0,1001,1001,2002,0,0,0,0,0,0,1001,0
./objects//gemm.pgo.merged.ll,init_array,vector.body,6,18135100,274774,15014500000000000,0,274774,0,0,10166700,5770260,6045040,1099100,0,274774,0,0,0,1648650,0,824323,10166700,5770260,0,0,0,18135100,0,6045040,1099100,0,6045040,6045040,12090080,6045040,0,0,6045040,6045040,12090080,0,0,0,1648650,824323,0,6045040,0
./objects//gemm.pgo.merged.ll,init_array,for.inc7,7,2002,500,27348800000000,0,0,0,0,2002,2502,2002,1502,0,500,0,0,0,0,0,1502,2002,2502,0,0,0,2002,0,2002,1502,0,2002,2002,4004,2002,0,0,2002,2002,4004,0,0,0,0,1502,0,2002,0
./objects//gemm.pgo.merged.ll,init_array,vector.ph2.preheader,8,24,1,54643000000,4,0,0,0,12,4,4,4,0,0,0,0,0,0,0,0,12,4,0,0,0,24,0,4,4,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,0,4,0
./objects//gemm.pgo.merged.ll,init_array,vector.ph2,9,1502,500,27348800000000,0,0,0,0,1502,1502,1502,500,0,0,0,0,0,0,0,0,1502,1502,0,0,0,1502,0,1502,500,0,1502,1502,3004,1502,0,0,1502,1502,3004,0,0,0,0,0,0,1502,0
