cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
108,21,5,0,0,4,0,47,36,0,0,9,10,0,0,0,0,0,108,0,21,5,0,21,21,42,21,0,0,21,21,42,0,0,0,0,0,0,21,0,./objects//gemver.pgo.merged.ll,main,if.end,True,False,36,47,18014400000000000,1,0,3
46,9,2,0,0,2,0,23,15,0,0,1,1,0,0,0,1,0,46,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0,./objects//gemver.pgo.merged.ll,print_array,for.end,True,False,15,23,562941600000000,1,0,34
1136,528,384,0,64,80,0,1040,912,0,0,48,48,32,0,0,2,0,1136,0,528,384,0,528,528,1056,528,0,0,528,528,1056,0,0,0,32,0,0,528,0,./objects//gemver.pgo.merged.ll,print_array,for.body,True,False,448,416,18014400000000000,32,0,31
51,11,4,0,0,3,0,31,15,0,0,2,2,0,0,0,3,0,51,0,11,4,0,11,11,22,11,0,0,11,11,22,0,0,0,0,0,0,11,0,./objects//gemver.pgo.merged.ll,print_array,entry,True,False,15,31,562941600000000,1,0,30
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//gemver.pgo.merged.ll,main,if.then,True,False,2,3,353218700000000,1,0,2
17,4,3,0,1,3,0,10,3,0,0,0,0,0,0,0,5,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,0,4,0,./objects//gemver.pgo.merged.ll,main,land.lhs.true,True,False,3,10,6004800000000000,1,0,1
21,5,3,0,0,2,0,15,8,0,0,2,2,0,0,0,6,0,21,0,5,3,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//gemver.pgo.merged.ll,xmalloc,if.then,True,False,8,15,3126466000000000,1,0,45
13,3,1,0,0,0,0,3,4,0,0,0,1,0,0,0,7,0,13,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//gemver.pgo.merged.ll,xmalloc,if.end,True,False,4,3,14887930000000000,1,0,44
2,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,8,0,2,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//gemver.pgo.merged.ll,xmalloc,entry,True,False,1,3,16451170000000000,1,0,43
20,8,4,0,1,1,1,20,9,0,0,1,1,0,0,0,9,0,20,0,8,4,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//gemver.pgo.merged.ll,xmalloc,entry,True,False,9,20,18014400000000000,1,0,42
