cycle_count,instr_count,int_instr_count,float_instr_count,branch_instr_count,loads,stores,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,function_calls,context_switches,mul_access,fp_access,ialu_access,path_index,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes,module_name,function_name,block_name,is_entry,is_exit,writes,reads,global_freq,freq,loadstore_instr,block_id
63,12,1,0,0,0,0,20,22,0,0,4,5,0,0,0,0,0,63,0,12,1,0,12,12,24,12,0,0,12,12,24,0,0,0,0,0,0,12,0,./objects//ludcmp.pgo.merged.ll,main,if.end,True,False,22,20,18014400000000000,1,0,3
46,9,2,0,0,2,0,23,15,0,0,1,1,0,0,0,1,0,46,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,0,0,9,0,./objects//ludcmp.pgo.merged.ll,print_array,for.end,True,False,15,23,562941600000000,1,0,77
1136,528,384,0,64,80,0,1040,912,0,0,48,48,32,0,0,2,0,1136,0,528,384,0,528,528,1056,528,0,0,528,528,1056,0,0,0,32,0,0,528,0,./objects//ludcmp.pgo.merged.ll,print_array,for.body,True,False,448,416,18014400000000000,32,0,74
51,11,4,0,0,3,0,31,15,0,0,2,2,0,0,0,3,0,51,0,11,4,0,11,11,22,11,0,0,11,11,22,0,0,0,0,0,0,11,0,./objects//ludcmp.pgo.merged.ll,print_array,entry,True,False,15,31,562941600000000,1,0,73
5,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,4,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//ludcmp.pgo.merged.ll,main,if.then,True,False,2,3,353218700000000,1,0,2
12,3,2,0,1,2,0,7,2,0,0,0,0,0,0,0,5,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//ludcmp.pgo.merged.ll,main,land.lhs.true,True,False,2,7,6004800000000000,1,0,1
21,5,3,0,0,2,0,15,8,0,0,2,2,0,0,0,6,0,21,0,5,3,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//ludcmp.pgo.merged.ll,xmalloc,if.then,True,False,8,15,4779330000000000,1,0,88
13,3,1,0,0,0,0,3,4,0,0,0,1,0,0,0,7,0,13,0,3,1,0,3,3,6,3,0,0,3,3,6,0,0,0,0,0,0,3,0,./objects//ludcmp.pgo.merged.ll,xmalloc,if.end,True,False,4,3,13235070000000000,1,0,87
2,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,8,0,2,0,2,1,0,2,2,4,2,0,0,2,2,4,0,0,0,0,0,0,2,0,./objects//ludcmp.pgo.merged.ll,xmalloc,entry,True,False,1,3,15624730000000000,1,0,86
20,8,4,0,1,1,1,20,9,0,0,1,1,0,0,0,9,0,20,0,8,4,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//ludcmp.pgo.merged.ll,xmalloc,entry,True,False,9,20,18014400000000000,1,0,85
5,3,2,0,0,0,0,6,3,0,0,0,0,1,0,0,10,0,5,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,1,0,0,3,0,./objects//ludcmp.pgo.merged.ll,polybench_alloc_data,entry,True,False,3,6,18014400000000000,1,0,84
38,8,1,0,0,0,0,10,14,0,0,0,0,0,0,0,11,0,38,0,8,1,0,8,8,16,8,0,0,8,8,16,0,0,0,0,0,0,8,0,./objects//ludcmp.pgo.merged.ll,init_array,for.end119,True,False,14,10,18156230,1,0,33
7916943,2973260,2476879,0,496380,988736,988736,7671766,1738346,0,0,0,0,0,0,0,12,0,7916943,0,2973260,2476879,0,2973260,2973260,5946520,2973260,0,0,2973260,2973260,5946520,0,0,0,0,0,0,2973260,0,./objects//ludcmp.pgo.merged.ll,init_array,vector.memcheck14,True,False,1000,2001,18165310000,1000,0,27
1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,13,0,1,0,1,1,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,./objects//ludcmp.pgo.merged.ll,init_array,for.cond102.preheader.preheader,True,False,2,2,18156230,1,0,26
59569055415,15897406026,14897164141,0,996251904,5955302877,1984439500,43693417421,14909155530,0,0,0,0,1986439502,125000,0,14,0,59569055415,0,15897406026,14897164141,0,15897406026,15897406026,31794812052,15897406026,0,0,15897406026,15897406026,31794812052,0,0,0,1986439502,0,125000,15897406026,0,./objects//ludcmp.pgo.merged.ll,init_array,for.cond69.preheader,True,False,8004,14007,18165310000,1000,0,18
13,5,1,0,0,0,0,15,9,0,0,2,2,0,0,0,15,0,13,0,5,1,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//ludcmp.pgo.merged.ll,init_array,for.end46,True,False,9,15,18156230,1,0,17
17476742,4506620,2512232,0,501351,6001,498350,9505095,4018766,0,0,1000,1000,499350,2017,0,16,0,17476742,0,4506620,2512232,0,4506620,4506620,9013240,4506620,0,0,4506620,4506620,9013240,0,0,0,499350,0,2017,4506620,0,./objects//ludcmp.pgo.merged.ll,init_array,for.cond13.preheader,True,False,1000,2001,18165310000,1000,0,7
19,4,3,0,0,3,0,12,4,0,0,0,0,0,0,0,17,0,19,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,0,0,4,0,./objects//ludcmp.pgo.merged.ll,init_array,for.cond13.preheader.preheader,True,False,4,12,18156230,1,0,6
40020,10005,7004,0,1000,0,3002,27014,6003,0,0,0,0,2001,3002,0,18,0,40020,0,10005,7004,0,10005,10005,20010,10005,0,0,10005,10005,20010,0,0,0,2001,0,3002,10005,0,./objects//ludcmp.pgo.merged.ll,init_array,for.body,True,False,6003,27014,18165310000,1000,0,5
53,10,3,0,0,3,0,23,10,0,0,0,0,0,0,0,19,0,53,0,10,3,0,10,10,20,10,0,0,10,10,20,0,0,0,0,0,0,10,0,./objects//ludcmp.pgo.merged.ll,init_array,entry,True,False,10,23,18156230,1,0,4
30,5,0,0,0,0,0,4,8,0,0,0,1,0,0,0,20,0,30,0,5,0,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0,./objects//ludcmp.pgo.merged.ll,kernel_ludcmp,for.end109,True,False,8,4,54468750,1,0,72
21382250,4480890,3979795,0,501086,1986392,1000,12427494,4479915,0,0,0,0,994205,1985392,0,21,0,21382250,0,4480890,3979795,0,4480890,4480890,8961780,4480890,0,0,4480890,4480890,8961780,0,0,0,994205,0,1985392,4480890,0,./objects//ludcmp.pgo.merged.ll,kernel_ludcmp,for.body85,True,False,2001,5003,54496000000,1000,0,65
