block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,76.0
22,348.16,348.16,348.16,1488.281
23,348.16,348.16,348.16,310058.6
24,348.16,348.18,348.16,992.1874
25,348.16,348.18,348.16,3759.765
26,348.16,348.17,348.16,36.0
27,348.16,348.19,348.16,30.0
1,348.17,348.18,348.17,17.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,58.0
28,348.17,348.19,348.17,5005.0
4,350.38,350.75,350.4,67.0
29,348.18,348.21,348.18,1200001.0
5,350.4,350.76,350.42,1001.0
8,350.4,350.75,350.42,2482.949
30,348.2,348.25,348.2,1.0
6,350.41,350.77,350.43,0.0
9,,,0.0,35099960.0
10,,,0.0,3003.0
11,,,0.0,23.0
12,,,0.0,4004.0
13,,,0.0,1001.0
32,348.21,348.26,348.21,16783200000.0
31,348.21,348.26,348.21,599999.9
7,350.42,350.77,350.44,304.9922
15,350.42,350.77,350.44,1986.359
14,,,0.0,3.910156
16,,,0.0,7572994.0
17,,,0.0,993.1796
18,,,0.0,504.4101
19,,,0.0,20176.4
20,,,0.0,1001.0
21,,,0.0,1500.0
