block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,69.0
22,348.16,348.16,348.16,9338.389
23,348.16,348.16,348.16,7087947.0
24,348.16,348.18,348.16,5315960000.0
25,348.16,348.18,348.16,1181325.0
26,348.16,348.17,348.16,904670.2
27,348.16,348.19,348.16,148422.5
1,348.17,348.18,348.17,12.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,53.0
28,348.17,348.19,348.17,904670.2
4,350.38,350.75,350.4,34.0
29,348.18,348.21,348.18,1795205.0
5,350.4,350.76,350.42,1201.0
8,350.4,350.75,350.42,30.0
30,348.2,348.25,348.2,61036970.0
6,350.41,350.77,350.43,19776870.0
9,,,0.0,1201.0
10,,,0.0,23740170.0
11,,,0.0,2402.0
12,,,0.0,6.0
13,,,0.0,39.0
32,348.21,348.26,348.21,3603.0
31,348.21,348.26,348.21,3000003.0
7,350.42,350.77,350.44,2402.0
15,350.42,350.77,350.44,0.0
14,,,0.0,1801.5
16,,,0.0,15728.23
17,,,0.0,1191.617
18,,,0.0,2413025.0
19,,,0.0,3748.728
20,,,0.0,25821.5
21,,,0.0,3600004.0
