block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,100,3.3333333333333334e-08,1,0.65,3.0
47,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
48,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
49,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
50,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
51,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
52,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
53,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,350.15,350.15,350.15,30,1e-08,1,0.65,3.0
21,350.15,350.15,350.15,30,1e-08,1,0.65,3.0
2,350.15,350.15,350.15,10,3.3333333333333334e-09,1,0.65,3.0
54,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,350.15,350.15,350.15,801,2.67e-07,400,0.65,3.0
6,351.66,352.06,351.7,12790400,0.004263466666666667,199850,0.65,3.0
7,351.66,352.06,351.7,1602,5.167741935483871e-07,400,0.65,3.1
22,350.15,350.15,350.15,1602,5.34e-07,400,0.65,3.0
23,350.2,350.29,350.2,720001,0.00024000033333333333,360001,0.65,3.0
24,342.75,342.81,342.75,8280010000,2.760003333333333,180000000,0.65,3.0
25,342.91,343.09,342.9,1440000,0.0003891891891891892,360001,0.8,3.7
26,342.91,343.09,342.9,1602,4.3297297297297296e-07,400,0.8,3.7
3,350.15,350.15,350.15,83,2.7666666666666666e-08,1,0.65,3.0
40,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
55,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
8,351.66,352.06,351.7,30,9.677419354838709e-09,1,0.65,3.1
27,,,0.0,0,0.0,1,0.8,3.7
41,,,0.0,0,0.0,497,0.65,3.0
42,,,0.0,13140,3.4578947368421053e-06,1460,0.9,3.8
43,,,0.0,11680,3.0736842105263158e-06,730,0.9,3.8
44,,,0.0,37959,9.98921052631579e-06,1460,0.9,3.8
45,,,0.0,2982,7.847368421052631e-07,497,0.9,3.8
57,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
56,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
9,351.66,352.06,351.7,1001,3.229032258064516e-07,500,0.65,3.1
10,353.19,353.98,353.24,15056500,0.004856935483870967,224724,0.65,3.1
11,353.19,353.98,353.24,2002,6.458064516129032e-07,500,0.65,3.1
32,350.15,350.15,350.15,1802,6.006666666666666e-07,450,0.65,3.0
28,,,0.0,1802,4.7421052631578946e-07,450,0.9,3.8
29,,,0.0,990001,0.0002605265789473684,495001,0.9,3.8
30,,,0.0,13662000000,3.595263157894737,297000000,0.9,3.8
31,,,0.0,1980000,0.0005210526315789474,495001,0.9,3.8
46,,,0.0,58,1.5263157894736843e-08,1,0.9,3.8
12,353.19,353.98,353.24,30,9.677419354838709e-09,1,0.65,3.1
33,,,0.0,0,0.0,1,0.65,3.0
13,353.19,353.98,353.24,901,2.906451612903226e-07,450,0.65,3.1
14,354.69,355.9,354.74,18079900,0.005832225806451613,269849,0.65,3.1
15,354.69,355.9,354.74,1802,5.812903225806452e-07,450,0.65,3.1
34,,,0.0,1602,4.2157894736842104e-07,400,0.9,3.8
35,,,0.0,880001,0.0002315792105263158,440000,0.9,3.8
36,,,0.0,9108010000,2.3968447368421053,198000000,0.9,3.8
37,,,0.0,1760000,0.0004631578947368421,440000,0.9,3.8
38,,,0.0,1602,4.2157894736842104e-07,400,0.9,3.8
16,354.69,355.9,354.74,24,7.741935483870967e-09,1,0.65,3.1
39,,,0.0,36,9.473684210526316e-09,1,0.9,3.8
17,354.69,355.9,354.74,1201,3.874193548387097e-07,600,0.65,3.1
18,356.1,357.76,356.16,21758500,0.007252833333333333,329675,0.6,3.0
19,356.1,357.76,356.16,2402,8.006666666666667e-07,600,0.6,3.0
20,356.1,357.76,356.16,6,2e-09,1,0.6,3.0
