block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,71,2.3666666666666667e-08,1,0.65,3.0
26,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
27,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
28,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
29,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
30,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
31,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,12,4e-09,1,0.65,3.0
32,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,350.15,350.15,350.15,36,1.2e-08,1,0.65,3.0
11,350.15,350.15,350.15,44,1.4666666666666667e-08,1,0.65,3.0
2,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
33,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,350.15,350.15,350.15,16800,5.6e-06,175,0.65,3.0
12,350.15,350.15,350.15,950,3.1666666666666667e-07,950,0.65,3.0
13,351.79,352.52,351.82,43850400,0.0146168,664399,0.65,3.0
14,351.79,352.52,351.82,1901,6.132258064516129e-07,950,0.65,3.1
15,,,0.0,0,0.0,7,0.65,3.1
16,,,0.0,431,1.1342105263157894e-07,7,0.9,3.8
17,351.79,352.52,351.82,6602,2.1296774193548387e-06,943,0.65,3.1
18,353.53,354.62,353.58,22237700,0.0071734516129032255,494171,0.65,3.1
19,,,0.0,3802,1.0005263157894737e-06,950,0.9,3.8
3,350.15,350.15,350.15,63,2.1e-08,1,0.65,3.0
21,350.15,350.15,350.15,51,1.7e-08,1,0.65,3.0
34,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
6,350.15,350.15,350.15,36,1.2e-08,1,0.65,3.0
20,,,0.0,36,9.473684210526316e-09,1,0.9,3.8
24,350.15,350.15,350.15,672,2.24e-07,32,0.65,3.0
22,350.15,350.15,350.15,288,9.6e-08,32,0.65,3.0
23,350.15,350.15,350.15,176,5.866666666666667e-08,16,0.65,3.0
36,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
35,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
8,350.14,350.17,350.15,58771300,0.019590433333333334,498062,0.65,3.0
9,350.14,350.17,350.15,3802,1.2673333333333333e-06,950,0.65,3.0
7,350.15,350.15,350.15,2852,9.506666666666667e-07,950,0.65,3.0
25,350.15,350.15,350.15,46,1.5333333333333335e-08,1,0.65,3.0
10,350.14,350.17,350.15,6,2e-09,1,0.65,3.0
