block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,61,2.0333333333333333e-08,1,0.65,3.0
33,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
34,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
35,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
36,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
37,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
38,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,1401,4.67e-07,700,0.65,3.0
2,351.79,352.26,351.83,15525200,0.005175066666666667,419599,0.65,3.0
3,351.79,352.26,351.83,2802,9.038709677419355e-07,700,0.65,3.1
39,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,351.79,352.26,351.83,13,4.193548387096774e-09,1,0.65,3.1
40,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,351.79,352.26,351.83,12,3.870967741935484e-09,1,0.65,3.1
8,,,0.0,0,0.0,1,0.65,3.1
41,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
6,351.79,352.26,351.83,5,1.6129032258064515e-09,1,0.65,3.1
9,,,0.0,600,1.5789473684210527e-07,600,0.9,3.8
10,,,0.0,9011700,0.0023715,209575,0.9,3.8
11,,,0.0,16214,4.266842105263158e-06,600,0.9,3.8
43,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
42,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
7,351.79,352.26,351.83,51,1.6451612903225807e-08,1,0.65,3.1
26,351.79,352.26,351.83,60,1.9354838709677418e-08,1,0.65,3.1
12,,,0.0,7,1.8421052631578947e-09,1,0.9,3.8
27,,,0.0,0,0.0,497,0.65,3.1
28,,,0.0,13140,3.4578947368421053e-06,1460,0.9,3.8
29,,,0.0,11680,3.0736842105263158e-06,730,0.9,3.8
30,,,0.0,37959,9.98921052631579e-06,1460,0.9,3.8
31,,,0.0,2982,7.847368421052631e-07,497,0.9,3.8
13,,,0.0,1401,3.686842105263158e-07,700,0.9,3.8
14,,,0.0,0,0.0,695,0.9,3.8
15,,,0.0,7042020,0.001853163157894737,103559,0.9,3.8
16,,,0.0,0,0.0,5,0.9,3.8
17,,,0.0,279,7.342105263157894e-08,5,0.9,3.8
18,,,0.0,2802,7.373684210526316e-07,700,0.9,3.8
32,,,0.0,58,1.5263157894736843e-08,1,0.9,3.8
19,,,0.0,9,2.368421052631579e-09,1,0.9,3.8
20,,,0.0,2402,6.321052631578948e-07,600,0.9,3.8
21,,,0.0,720601,0.00018963184210526315,360301,0.9,3.8
22,,,0.0,11349500000,2.9867105263157896,252210000,0.9,3.8
23,,,0.0,11529600,0.003034105263157895,360301,0.9,3.8
24,,,0.0,2402,6.321052631578948e-07,600,0.9,3.8
25,,,0.0,6,1.5789473684210527e-09,1,0.9,3.8
