block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,61.0,2.0333333333333333e-08,1,0.65,3.0366143
25,350.15,350.17,350.15,6.0,2e-09,1,0.65,3.0366935999999995
26,350.15,350.16,350.15,60.0,2e-08,1,0.65,3.0366143
27,350.15,350.17,350.15,0.0,0.0,497,0.65,3.0366935999999995
1,350.16,350.17,350.16,1401.0,4.67e-07,700,0.65,3.0366935999999995
4,351.89,352.58,351.92,13.0,4.333333333333333e-09,1,0.65,3.0558049
5,351.9,352.58,351.93,12.0,4e-09,1,0.65,3.0558049
8,351.9,352.58,351.93,0.0,0.0,1,0.65,3.0558049
6,351.91,352.58,351.94,5.0,1.6666666666666667e-09,1,0.65,3.0558049
32,350.19,350.22,350.19,58.0,1.933333333333333e-08,1,0.65,3.0370901000000003
7,351.92,352.58,351.95,51.0,1.7e-08,1,0.65,3.0558049
