block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
33,77.0,77.0,0.0
34,77.0,77.0,0.0
35,77.0,77.0,0.0
36,77.0,77.0,0.0
37,77.0,77.0,0.0
38,77.0,77.0,0.0
1,77.0,77.0,0.0
2,79.11000000000001,79.12,-0.009999999999990905
3,79.11000000000001,79.12,-0.009999999999990905
39,77.0,77.0,0.0
4,79.11000000000001,79.12,-0.009999999999990905
40,77.0,77.0,0.0
5,79.11000000000001,79.12,-0.009999999999990905
8,,,
41,77.0,77.0,0.0
6,79.11000000000001,79.12,-0.009999999999990905
9,,,
10,,,
11,,,
43,77.0,77.0,0.0
42,77.0,77.0,0.0
7,79.11000000000001,79.12,-0.009999999999990905
26,79.11000000000001,79.12,-0.009999999999990905
12,,,
27,,,
28,,,
29,,,
30,,,
31,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
32,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
