block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,49,1.6333333333333334e-08,1,0.65,3.0
38,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
39,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
40,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
41,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
42,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
43,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,12,4e-09,1,0.65,3.0
44,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,350.15,350.15,350.15,55,1.8333333333333332e-08,1,0.65,3.0
12,350.15,350.15,350.15,64,2.1333333333333332e-08,1,0.65,3.0
2,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
45,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,350.15,350.15,350.15,3903,1.301e-06,650,0.65,3.0
6,,,0.0,0,0.0,5,0.65,3.0
7,,,0.0,386,1.0157894736842105e-07,5,0.9,3.8
8,350.15,350.15,350.15,645,2.15e-07,645,0.65,3.0
9,351.92,352.6,351.96,31834600,0.010611533333333333,418876,0.65,3.0
10,,,0.0,3252,8.557894736842105e-07,650,0.9,3.8
13,350.15,350.15,350.15,1252,4.173333333333333e-07,250,0.65,3.0
14,350.19,350.24,350.19,649001,0.00021633366666666667,324501,0.65,3.0
15,,,0.0,0,0.0,321965,0.65,3.0
16,,,0.0,9701460000,2.553015789473684,104317000,0.9,3.8
17,,,0.0,0,0.0,321965,0.9,3.8
18,,,0.0,33748100,0.00888107894736842,324501,0.9,3.8
19,,,0.0,16549500,0.004355131578947368,324501,0.9,3.8
20,,,0.0,1947000,0.0005123684210526316,324501,0.9,3.8
21,,,0.0,1252,3.294736842105263e-07,250,0.9,3.8
22,,,0.0,649001,0.00017078973684210526,324501,0.9,3.8
23,,,0.0,0,0.0,321965,0.9,3.8
24,,,0.0,9701460000,2.553015789473684,104317000,0.9,3.8
25,,,0.0,0,0.0,321965,0.9,3.8
26,,,0.0,33748100,0.00888107894736842,324501,0.9,3.8
27,,,0.0,16549500,0.004355131578947368,324501,0.9,3.8
28,,,0.0,1947000,0.0005123684210526316,324501,0.9,3.8
29,,,0.0,752,1.9789473684210526e-07,250,0.9,3.8
3,350.15,350.15,350.15,41,1.3666666666666667e-08,1,0.65,3.0
31,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
46,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
11,,,0.0,6,1.5789473684210527e-09,1,0.9,3.8
30,,,0.0,42,1.1052631578947368e-08,1,0.9,3.8
32,,,0.0,0,0.0,497,0.65,3.0
33,,,0.0,13140,3.4578947368421053e-06,1460,0.9,3.8
34,,,0.0,11680,3.0736842105263158e-06,730,0.9,3.8
35,,,0.0,37959,9.98921052631579e-06,1460,0.9,3.8
36,,,0.0,2982,7.847368421052631e-07,497,0.9,3.8
48,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
47,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
37,,,0.0,58,1.5263157894736843e-08,1,0.9,3.8
