block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,76,2.5333333333333332e-08,1,0.65,3.0
43,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
44,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
45,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
46,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
47,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
48,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
49,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
4,350.15,350.15,350.15,67,2.2333333333333335e-08,1,0.65,3.0
27,350.15,350.15,350.15,30,1e-08,1,0.65,3.0
2,350.15,350.15,350.15,5,1.6666666666666667e-09,1,0.65,3.0
50,350.15,350.15,350.15,20,6.666666666666667e-09,1,0.65,3.0
5,350.15,350.15,350.15,1001,3.336666666666667e-07,500,0.65,3.0
6,,,0.0,0,0.0,4,0.65,3.0
7,,,0.0,305,8.026315789473685e-08,4,0.9,3.8
8,350.15,350.15,350.15,2483,8.276666666666666e-07,497,0.65,3.0
9,351.88,352.58,351.92,35100000,0.0117,297457,0.65,3.0
10,,,0.0,3003,7.902631578947368e-07,500,0.9,3.8
32,339.29,339.33,339.29,16783200000,5.5944,299700000,0.65,3.0
33,343.06,344.4,343.02,30000000,0.008108108108108109,600000,0.8,3.7
34,343.06,344.4,343.02,2502,6.762162162162162e-07,500,0.8,3.7
28,350.15,350.15,350.15,5005,1.6683333333333334e-06,500,0.65,3.0
29,350.25,350.29,350.25,1200000,0.0004,600000,0.65,3.0
30,350.25,350.29,350.25,1,3.333333333333333e-10,1,0.65,3.0
31,350.28,350.35,350.28,600000,0.0002,600000,0.65,3.0
3,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.65,3.0
36,350.15,350.15,350.15,60,2e-08,1,0.65,3.0
51,350.15,350.15,350.15,2,6.666666666666666e-10,1,0.65,3.0
11,,,0.0,23,6.052631578947368e-09,1,0.9,3.8
35,343.06,344.4,343.02,42,1.135135135135135e-08,1,0.8,3.7
37,,,0.0,0,0.0,497,0.65,3.0
38,,,0.0,13140,3.4578947368421053e-06,1460,0.9,3.8
39,,,0.0,11680,3.0736842105263158e-06,730,0.9,3.8
40,,,0.0,37959,9.98921052631579e-06,1460,0.9,3.8
41,,,0.0,2982,7.847368421052631e-07,497,0.9,3.8
53,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
52,350.15,350.15,350.15,13,4.333333333333333e-09,1,0.65,3.0
12,350.15,350.15,350.15,4004,1.3346666666666667e-06,500,0.65,3.0
13,,,0.0,1001,2.6342105263157896e-07,500,0.9,3.8
14,,,0.0,4,1.0526315789473683e-09,4,0.9,3.8
15,,,0.0,1986,5.226315789473684e-07,497,0.9,3.8
16,,,0.0,7572990,0.001992892105263158,124147,0.9,3.8
17,,,0.0,993,2.613157894736842e-07,497,0.9,3.8
18,,,0.0,504,1.3263157894736842e-07,252,0.9,3.8
19,,,0.0,20176,5.309473684210526e-06,504,0.9,3.8
20,,,0.0,1001,2.6342105263157896e-07,500,0.9,3.8
21,,,0.0,1500,3.9473684210526315e-07,500,0.9,3.8
22,,,0.0,1488,3.9157894736842107e-07,496,0.9,3.8
23,,,0.0,310059,8.159447368421053e-05,62012,0.9,3.8
24,,,0.0,992,2.610526315789474e-07,496,0.9,3.8
25,,,0.0,3760,9.894736842105263e-07,752,0.9,3.8
42,,,0.0,58,1.5263157894736843e-08,1,0.9,3.8
26,350.15,350.15,350.15,36,1.2e-08,1,0.65,3.0
