block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,63,2.1e-08,1,0.65,3.0
22,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
1,350.15,350.15,350.15,58,1.9333333333333334e-08,1,0.65,3.0
2,351.87,352.58,351.9,65761,2.1920333333333334e-05,497,0.65,3.0
3,351.87,352.58,351.9,60,1.9354838709677418e-08,1,0.65,3.1
4,351.87,352.58,351.9,5,1.6129032258064515e-09,1,0.65,3.1
5,351.87,352.58,351.9,12,3.870967741935484e-09,1,0.65,3.1
8,351.87,352.58,351.9,97,3.129032258064516e-08,1,0.65,3.1
6,351.87,352.58,351.9,42,1.3548387096774193e-08,1,0.65,3.1
9,,,0.0,7,2.2580645161290324e-09,1,0.65,3.1
10,,,0.0,8245238,0.0021697994736842104,500,0.9,3.8
11,,,0.0,21,5.526315789473684e-09,1,0.9,3.8
12,,,0.0,13,3.4210526315789474e-09,1,0.9,3.8
13,,,0.0,2,5.263157894736842e-10,1,0.9,3.8
7,351.87,352.58,351.9,67390363101,21.738826806774192,250,0.65,3.1
15,351.87,352.58,351.9,5,1.6129032258064515e-09,1,0.65,3.1
14,,,0.0,20,5.263157894736842e-09,1,0.9,3.8
16,,,0.0,77,2.4838709677419356e-08,1,0.65,3.1
17,,,0.0,6,1.5789473684210527e-09,1,0.9,3.8
18,,,0.0,6,1.5789473684210527e-09,1,0.9,3.8
19,,,0.0,7,1.8421052631578947e-09,1,0.9,3.8
20,,,0.0,7,1.8421052631578947e-09,1,0.9,3.8
21,,,0.0,17,4.473684210526316e-09,1,0.9,3.8
