block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,63,1.9687500000000003e-08,1,0.7,3.1999999999999997
1,350.15,350.15,350.15,58,1.8125000000000002e-08,1,0.7,3.1999999999999997
4,350.15,350.15,350.15,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
2,350.15,350.15,350.15,65761,2.0550312500000003e-05,497,0.7,3.1999999999999997
5,350.15,350.15,350.15,12,3.7500000000000005e-09,1,0.7,3.1999999999999997
3,350.15,350.15,350.15,60,1.8750000000000002e-08,1,0.7,3.1999999999999997
6,350.15,350.15,350.15,44,1.3750000000000002e-08,1,0.7,3.1999999999999997
16,350.19,350.23,350.19,16791686,0.005247401875000001,700,0.7,3.1999999999999997
15,350.19,350.23,350.19,13,4.062500000000001e-09,1,0.7,3.1999999999999997
14,330.04,330.13,330.04,31,9.687500000000002e-09,1,0.7,3.1999999999999997
10,350.19,350.23,350.19,22,6.875000000000001e-09,1,0.7,3.1999999999999997
13,330.04,330.13,330.04,9028519,0.0023759260526315788,600,0.85,3.8
9,350.19,350.23,350.19,55813732,0.01744179125,700,0.7,3.1999999999999997
12,332.87,335.85,332.75,13,3.4210526315789474e-09,1,0.85,3.8
8,350.19,350.23,350.19,3,9.375000000000001e-10,1,0.7,3.1999999999999997
11,332.87,335.85,332.75,21442950,0.005642881578947368,600,0.85,3.8
7,350.19,350.23,350.19,11344346607,3.5451083146875004,600,0.7,3.1999999999999997
17,350.15,350.15,350.15,21,6.562500000000001e-09,1,0.7,3.1999999999999997
19,350.15,350.15,350.15,2,6.250000000000001e-10,1,0.7,3.1999999999999997
25,334.9,334.95,334.91,7,2.1875e-09,1,0.7,3.1999999999999997
18,350.15,350.15,350.15,13,4.062500000000001e-09,1,0.7,3.1999999999999997
24,334.9,334.95,334.91,6,1.5789473684210527e-09,1,0.85,3.8
23,339.24,341.49,339.16,6,1.5789473684210527e-09,1,0.85,3.8
22,339.24,341.49,339.16,77,2.026315789473684e-08,1,0.85,3.8
21,342.38,343.98,342.36,5,1.3157894736842105e-09,1,0.85,3.8
20,342.38,343.98,342.36,20,5.263157894736842e-09,1,0.85,3.8
26,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
27,350.15,350.15,350.15,17,5.3125000000000004e-09,1,0.7,3.1999999999999997
28,350.15,350.15,350.15,1,3.1250000000000006e-10,1,0.7,3.1999999999999997
