block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,58,1.8125000000000002e-08,1,0.7,3.1999999999999997
1,350.15,350.15,350.15,58,1.8125000000000002e-08,1,0.7,3.1999999999999997
4,350.15,350.15,350.15,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
17,350.15,350.15,350.15,34,1.0625000000000001e-08,1,0.7,3.1999999999999997
2,350.15,350.15,350.15,65761,2.0550312500000003e-05,497,0.7,3.1999999999999997
5,350.15,350.15,350.15,17,5.3125000000000004e-09,1,0.7,3.1999999999999997
6,350.15,350.15,350.15,21,6.562500000000001e-09,1,0.7,3.1999999999999997
7,350.15,350.15,350.15,13,4.062500000000001e-09,1,0.7,3.1999999999999997
21,350.15,350.15,350.15,76,2.3750000000000004e-08,1,0.7,3.1999999999999997
22,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
23,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
24,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
25,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
26,350.15,350.15,350.15,17,5.3125000000000004e-09,1,0.7,3.1999999999999997
27,350.15,350.15,350.15,1,3.1250000000000006e-10,1,0.7,3.1999999999999997
20,350.15,350.15,350.15,35,1.0937500000000001e-08,1,0.7,3.1999999999999997
19,343.6,343.67,343.6,7386108881,2.3081590253125004,500,0.7,3.1999999999999997
18,343.6,343.67,343.6,42,1.1052631578947368e-08,1,0.85,3.8
3,350.15,350.15,350.15,60,1.8750000000000002e-08,1,0.7,3.1999999999999997
8,350.15,350.15,350.15,2,6.250000000000001e-10,1,0.7,3.1999999999999997
10,350.15,350.15,350.15,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
11,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
9,350.15,350.15,350.15,20,6.2500000000000005e-09,1,0.7,3.1999999999999997
12,350.18,350.22,350.19,21762123,0.006800663437500001,600,0.7,3.1999999999999997
15,350.15,350.15,350.15,24,7.500000000000001e-09,1,0.7,3.1999999999999997
14,351.94,352.52,351.97,23987464,0.007496082500000001,500,0.7,3.1999999999999997
13,351.94,352.52,351.97,24,8e-09,1,0.65,3.0
16,351.85,352.34,351.88,18138113,0.005668160312500001,500,0.7,3.1999999999999997
