block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,108,3.375000000000001e-08,1,0.7,3.1999999999999997
1,350.15,350.15,350.15,46,1.4375000000000001e-08,1,0.7,3.1999999999999997
4,350.15,350.15,350.15,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
9,350.15,350.15,350.15,20,6.2500000000000005e-09,1,0.7,3.1999999999999997
2,350.15,350.15,350.15,1136,3.5500000000000004e-07,32,0.7,3.1999999999999997
5,350.15,350.15,350.15,17,5.3125000000000004e-09,1,0.7,3.1999999999999997
6,350.15,350.15,350.15,21,6.562500000000001e-09,1,0.7,3.1999999999999997
7,350.15,350.15,350.15,13,4.062500000000001e-09,1,0.7,3.1999999999999997
10,350.15,350.15,350.15,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
13,350.15,350.15,350.15,104,3.2500000000000006e-08,1,0.7,3.1999999999999997
15,350.16,350.21,350.16,54982495,0.017182029687500003,1000,0.7,3.1999999999999997
12,351.44,352.19,351.46,79070546,0.024709545625000003,1000,0.7,3.1999999999999997
14,350.16,350.21,350.16,30,9.375000000000001e-09,1,0.7,3.1999999999999997
11,351.44,352.19,351.46,24,8e-09,1,0.65,3.0
3,350.15,350.15,350.15,51,1.5937500000000003e-08,1,0.7,3.1999999999999997
30,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
8,350.15,350.15,350.15,2,6.250000000000001e-10,1,0.7,3.1999999999999997
16,,,0.0,0,0.0,1,0.7,3.0
32,350.15,350.15,350.15,1,3.1250000000000006e-10,1,0.7,3.1999999999999997
31,350.15,350.15,350.15,17,5.3125000000000004e-09,1,0.7,3.1999999999999997
18,,,0.0,0,0.0,1,0.7,3.0
19,350.15,350.15,350.15,8434,2.6356250000000003e-06,124,0.7,3.1999999999999997
17,,,0.0,19,5e-09,1,0.9,3.8
20,,,0.0,0,0.0,1,0.7,3.0
23,,,0.0,0,0.0,1,0.7,3.0
21,350.15,350.15,350.15,8,2.5000000000000005e-09,1,0.7,3.1999999999999997
24,350.18,350.23,350.18,36181167,0.011306614687500001,1000,0.7,3.1999999999999997
22,,,0.0,55981995,0.014732103947368421,1000,0.9,3.8
25,350.15,350.15,350.15,87,2.7187500000000004e-08,1,0.7,3.1999999999999997
26,350.15,350.15,350.15,201,6.281250000000001e-08,1,0.7,3.1999999999999997
27,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
28,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
29,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
