block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,350.15,350.16,350.15,201.0,6.7e-08,1,0.65,3.0366143
22,350.15,350.16,350.15,8433.594,2.811198e-06,124,0.65,3.0366143
23,350.15,350.16,350.15,0.0,0.0,1,0.65,3.0366143
24,350.15,350.17,350.15,19.0,6.333333333333333e-09,1,0.65,3.0366935999999995
25,350.15,350.17,350.15,0.0,0.0,1,0.65,3.0366935999999995
26,350.15,350.16,350.15,6003.001,2.001000333333333e-06,1000,0.65,3.0366143
1,350.16,350.17,350.16,17.0,5.666666666666667e-09,1,0.65,3.0366935999999995
2,351.86,352.58,351.9,5.0,1.6666666666666667e-09,1,0.65,3.0558049
3,351.88,352.58,351.91,108.0,3.6e-08,1,0.65,3.0558049
4,351.89,352.58,351.92,104.0,3.4666666666666666e-08,1,0.65,3.0558049
29,350.17,350.19,350.17,30.0,1e-08,1,0.65,3.0368522000000002
5,351.9,352.58,351.93,107053.5,3.56845e-05,1000,0.65,3.0558049
8,351.9,352.58,351.93,24.0,8e-09,1,0.65,3.0558049
30,350.18,350.21,350.18,51.0,1.7e-08,1,0.65,3.037010799999999
31,350.19,350.22,350.19,288.0043,9.600143333333335e-08,32,0.65,3.0370901000000003
