block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
22,77.0,77.0,0.0
23,77.0,77.0,0.0
24,77.0,77.0,0.0
25,77.0,77.0,0.0
26,77.0,77.0,0.0
27,77.0,77.0,0.0
1,77.0,77.0,0.0
2,79.42000000000002,79.43,-0.009999999999990905
3,79.42000000000002,79.43,-0.009999999999990905
28,77.0,77.0,0.0
4,79.42000000000002,79.43,-0.009999999999990905
29,77.0,77.0,0.0
5,79.42000000000002,79.43,-0.009999999999990905
8,79.42000000000002,79.43,-0.009999999999990905
30,77.0,77.0,0.0
6,79.42000000000002,79.43,-0.009999999999990905
9,,,
10,,,
11,,,
12,,,
13,,,
32,77.0,77.0,0.0
31,77.0,77.0,0.0
7,79.42000000000002,79.43,-0.009999999999990905
15,79.42000000000002,79.43,-0.009999999999990905
14,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
