block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
27,77.0,77.0,0.0
2,77.0,77.0,0.0
5,77.0,77.0,0.0
9,77.0,77.0,0.0
8,77.0,77.0,0.0
6,77.0,77.0,0.0
7,77.0,77.0,0.0
3,77.0,77.0,0.0
10,77.0,77.0,0.0
17,77.0,77.0,0.0
18,77.0,77.0,0.0
16,79.45000000000005,79.44,0.010000000000047748
15,79.45000000000005,79.44,0.010000000000047748
14,56.93000000000001,56.99000000000001,-0.060000000000002274
13,56.93000000000001,56.99000000000001,-0.060000000000002274
12,62.33000000000004,63.110000000000014,-0.7799999999999727
11,62.33000000000004,63.110000000000014,-0.7799999999999727
19,61.97000000000003,61.49000000000001,0.4800000000000182
21,77.0,77.0,0.0
22,77.0,77.0,0.0
23,77.0,77.0,0.0
24,77.0,77.0,0.0
25,77.0,77.0,0.0
20,77.0,77.0,0.0
26,77.0,77.0,0.0
