block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,63,2.1e-08,1,0.65,3.0
22,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
23,350.15,350.15,350.15,21362047,0.007120682333333334,1000,0.65,3.0
24,350.15,350.15,350.15,1,3.333333333333333e-10,1,0.65,3.0
25,350.15,350.15,350.15,29175362381,9.725120793666667,1000,0.65,3.0
26,350.15,350.15,350.15,21,7e-09,1,0.65,3.0
27,350.15,350.15,350.15,71,2.3666666666666667e-08,1,0.65,3.0
1,350.15,350.15,350.15,46,1.5333333333333335e-08,1,0.65,3.0
2,351.87,352.58,351.9,1136,3.7866666666666667e-07,32,0.65,3.0
3,351.87,352.58,351.9,51,1.6451612903225807e-08,1,0.65,3.1
28,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
4,351.87,352.58,351.9,5,1.6129032258064515e-09,1,0.65,3.1
29,350.15,350.15,350.15,6,2e-09,1,0.65,3.0
5,351.87,352.58,351.9,12,3.870967741935484e-09,1,0.65,3.1
8,351.87,352.58,351.9,2,6.451612903225806e-10,1,0.65,3.1
30,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
6,351.87,352.58,351.9,21,6.774193548387097e-09,1,0.65,3.1
9,,,0.0,20,6.451612903225806e-09,1,0.65,3.1
10,,,0.0,5,1.3157894736842105e-09,1,0.9,3.8
11,,,0.0,38,1e-08,1,0.9,3.8
12,,,0.0,7916943,0.002083406052631579,1000,0.9,3.8
13,,,0.0,1,2.631578947368421e-10,1,0.9,3.8
32,350.15,350.15,350.15,17,5.666666666666667e-09,1,0.65,3.0
31,350.15,350.15,350.15,7,2.333333333333333e-09,1,0.65,3.0
7,351.87,352.58,351.9,13,4.193548387096774e-09,1,0.65,3.1
15,351.87,352.58,351.9,13,4.193548387096774e-09,1,0.65,3.1
14,,,0.0,59569055415,15.676067214473685,1000,0.9,3.8
16,,,0.0,17476742,0.0056376587096774195,1000,0.65,3.1
17,,,0.0,19,5e-09,1,0.9,3.8
18,,,0.0,40020,1.053157894736842e-05,1000,0.9,3.8
19,,,0.0,53,1.3947368421052632e-08,1,0.9,3.8
20,,,0.0,30,7.894736842105263e-09,1,0.9,3.8
21,,,0.0,21382250,0.005626907894736842,1000,0.9,3.8
