block_id,temp_mean,temp_max,temp_area_weighted_mean,cycle_count,execution_time,dvs_calling_count,voltage,frequency
0,350.15,350.15,350.15,63,1.9687500000000003e-08,1,0.7,3.1999999999999997
1,350.15,350.15,350.15,46,1.4375000000000001e-08,1,0.7,3.1999999999999997
4,350.15,350.15,350.15,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
2,350.15,350.15,350.15,1136,3.5500000000000004e-07,32,0.7,3.1999999999999997
5,350.15,350.15,350.15,12,3.7500000000000005e-09,1,0.7,3.1999999999999997
3,350.15,350.15,350.15,51,1.5937500000000003e-08,1,0.7,3.1999999999999997
6,350.15,350.15,350.15,21,6.562500000000001e-09,1,0.7,3.1999999999999997
16,350.18,350.21,350.18,17476742,0.005461481875000001,1000,0.7,3.1999999999999997
15,350.18,350.21,350.18,13,4.062500000000001e-09,1,0.7,3.1999999999999997
14,330.31,330.38,330.32,59569055415,18.615329817187504,1000,0.7,3.1999999999999997
10,350.18,350.21,350.18,5,1.5625000000000001e-09,1,0.7,3.1999999999999997
13,330.31,330.38,330.32,1,2.631578947368421e-10,1,0.85,3.8
9,350.18,350.21,350.18,20,6.2500000000000005e-09,1,0.7,3.1999999999999997
12,332.6,335.27,332.5,7916943,0.002083406052631579,1000,0.85,3.8
8,350.18,350.21,350.18,2,6.250000000000001e-10,1,0.7,3.1999999999999997
11,332.6,335.27,332.5,38,1e-08,1,0.85,3.8
7,350.18,350.21,350.18,13,4.062500000000001e-09,1,0.7,3.1999999999999997
17,350.15,350.15,350.15,19,5.937500000000001e-09,1,0.7,3.1999999999999997
19,350.15,350.15,350.15,53,1.6562500000000004e-08,1,0.7,3.1999999999999997
25,335.4,335.45,335.41,29175362381,9.1173007440625,1000,0.7,3.1999999999999997
18,350.15,350.15,350.15,40020,1.2506250000000002e-05,1000,0.7,3.1999999999999997
24,335.4,335.45,335.41,1,2.631578947368421e-10,1,0.85,3.8
23,339.28,341.47,339.2,21362047,0.005621591315789474,1000,0.85,3.8
22,339.28,341.47,339.2,1,2.631578947368421e-10,1,0.85,3.8
21,342.19,343.84,342.15,21382250,0.005626907894736842,1000,0.85,3.8
20,342.19,343.84,342.15,30,7.894736842105263e-09,1,0.85,3.8
26,350.15,350.15,350.15,21,6.562500000000001e-09,1,0.7,3.1999999999999997
32,350.15,350.15,350.15,17,5.3125000000000004e-09,1,0.7,3.1999999999999997
27,350.15,350.15,350.15,71,2.2187500000000003e-08,1,0.7,3.1999999999999997
28,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
29,350.15,350.15,350.15,6,1.8750000000000002e-09,1,0.7,3.1999999999999997
30,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
31,350.15,350.15,350.15,7,2.1875e-09,1,0.7,3.1999999999999997
33,350.15,350.15,350.15,1,3.1250000000000006e-10,1,0.7,3.1999999999999997
